  12.0   4.1810565928586356e-11   6.4292499742979009e-17   7.4250705672404052e-17   1.1265528063493046e-15   0.0000000000000000e+00 1 
  12.0   1.6211628468071558e-06   2.4504786939005389e-12   2.8256039263315215e-12   4.2886631117576073e-11   0.0000000000000000e+00 1 
  12.0   2.7354715714506959e-02   3.7379538750226643e-08   4.2693442856252576e-08   6.4928496993391976e-07   0.0000000000000000e+00 1 
  12.0   4.8216149207266495e-01   3.8582174102499257e-07   4.3688636473280900e-07   6.6848444255916005e-06   0.0000000000000000e+00 1 
  12.0   3.4472069069081007e-01   1.3119787172998468e-07   1.4849027523040730e-07   2.2908471298656727e-06   0.0000000000000000e+00 1 
  12.0   1.0454815328594443e-01   2.6500538800186859e-08   3.0222002458681720e-08   4.7010710454433195e-07   0.0000000000000000e+00 1 
  12.0   1.1683209333563533e-02   2.5758770728996146e-09   3.8321737029873470e-09   6.0230588872845462e-08   0.0000000000000000e+00 1 
  12.0   6.7469046754270586e-06   1.1483655560953386e-12   1.2372057540556550e-08   1.9798190278230324e-07   0.0000000000000000e+00 1 
  12.0   9.9248986399947727e-07   2.4218239460767848e-10   1.5917829655247371e-04   2.6876190010252121e-03   0.0000000000000000e+00 1 
  12.0   3.2833639520422232e-06   7.2501395604416227e-09   4.8412017345223265e-03   9.4637059884916636e-02   0.0000000000000000e+00 1 
  12.0   3.8545468939206462e-07   8.0725760277523472e-10   5.4009565742666062e-04   1.2138944086209314e-02   0.0000000000000000e+00 1 
  12.0   1.1749479993305608e-09   1.4321147680148799e-14   1.6493395013654284e-07   3.7661699833397742e-06   0.0000000000000000e+00 1 
  12.0   1.4322752295961820e-09   6.8910528992618767e-14   4.2303457520396536e-10   9.5980603127520582e-09   0.0000000000000000e+00 1 
  12.2   1.7528960228258831e-06   3.5760325533865432e-10   1.7314465027225311e-08   3.8575855740423799e-07   0.0000000000000000e+00 1 
  12.5   1.7821934133788792e-05   3.1053118142539917e-09   8.7685659645951709e-08   1.9136125517604896e-06   0.0000000000000000e+00 1 
  12.8   8.9096526384774909e-05   1.2885945662663932e-08   1.0920569665186794e-06   2.3340215502986201e-05   0.0000000000000000e+00 1 
  13.0   2.8539668324536051e-04   3.6482780742575116e-08   4.4476595243118012e-06   9.3033575480907436e-05   0.0000000000000000e+00 1 
  13.2   7.0846449969523507e-04   8.1892659125369000e-08   1.2291807786658198e-05   2.5132147738876073e-04   0.0000000000000000e+00 1 
  13.5   1.4919796539744150e-03   1.5668300318667781e-07   2.7635999963976103e-05   5.5123752062467943e-04   0.0000000000000000e+00 1 
  13.8   2.7999502792196273e-03   2.6538177356272653e-07   5.4632816690544559e-05   1.0600892898546428e-03   0.0000000000000000e+00 1 
  14.0   4.8217668988784421e-03   4.0587161154431225e-07   9.9020162615039812e-05   1.8620353936954004e-03   0.0000000000000000e+00 1 
  14.2   7.7424548909054824e-03   5.6552367972721109e-07   1.6886525092675935e-04   3.0622816407922184e-03   0.0000000000000000e+00 1 
  14.5   1.1689987272360558e-02   7.1855365504413328e-07   2.7580421865173213e-04   4.7935956804755764e-03   0.0000000000000000e+00 1 
  14.8   1.6806144868760371e-02   8.2709906801216604e-07   4.3710832284608414e-04   7.2259891351128978e-03   0.0000000000000000e+00 1 
  15.0   2.3124012276238351e-02   8.4900385501736285e-07   6.7917075142737008e-04   1.0580816016772411e-02   0.0000000000000000e+00 1 
  15.2   3.0543104272429053e-02   7.5363289663175548e-07   1.0434889651525689e-03   1.5150791407797189e-02   0.0000000000000000e+00 1 
  15.5   3.8776705088452469e-02   5.4368230261048602e-07   1.5971493493058954e-03   2.1327696975424144e-02   0.0000000000000000e+00 1 
  15.8   4.7297548774023652e-02   2.7406902971299167e-07   2.4516274036178410e-03   2.9639115171760235e-02   0.0000000000000000e+00 1 
  16.0   5.5286587121572979e-02   5.3579771465959062e-08   3.7972937637086360e-03   4.0793389565753561e-02   0.0000000000000000e+00 1 
  16.2   6.1588688243558308e-02   1.4459307454301144e-08   5.9681607460676097e-03   5.5725342412711723e-02   0.0000000000000000e+00 1 
  16.5   6.4683797707851057e-02   2.4789113092703029e-07   9.5657729971417305e-03   7.5618957417681723e-02   0.0000000000000000e+00 1 
  16.8   6.2704738792253051e-02   7.2946886931186473e-07   1.5699677120834664e-02   1.0184687816578325e-01   0.0000000000000000e+00 1 
  17.0   5.3629047469081363e-02   1.2855562508676399e-06   2.6455619201132007e-02   1.3569163216555394e-01   0.0000000000000000e+00 1 
  17.2   3.6111744484478077e-02   1.6495206137426931e-06   4.5788804378747314e-02   1.7757753705713977e-01   0.0000000000000000e+00 1 
  17.5   1.2604898261283744e-02   1.6161214473348023e-06   8.1100940663298357e-02   2.2534301153286837e-01   0.0000000000000000e+00 1 
  17.8   7.0461994623241509e-04   1.1892768064025722e-06   1.4536587806515311e-01   2.7096816555546577e-01   0.0000000000000000e+00 1 
  18.0   7.5927424704593460e-02   6.0432457661389155e-07   2.5668973216754720e-01   2.9586826413483913e-01   0.0000000000000000e+00 1 
  18.2   5.4943042671215847e-01   1.6455450480573181e-07   4.1831045453541305e-01   2.6872310013397777e-01   0.0000000000000000e+00 1 
  18.5   2.8436805720193075e+00   5.7099782997136888e-09   5.1900561829450775e-01   1.6170011031108006e-01   0.0000000000000000e+00 2 
  18.5   2.8436805720193075e+00   5.7099782997136888e-09   5.1900561829450775e-01   1.6170011031108006e-01   0.0000000000000000e+00 1 
  18.8   1.5188958598965755e+01   1.1981133567357031e-08   1.6240177316402959e-01   2.0019635947990642e-02   0.0000000000000000e+00 0 
