  12.0   6.6240000000000000e+08   5.3260000000000000e+11   8.7250000000000000e+08   2.2400000000000000e+08   1.6970000000000000e+16 
  12.2   2.5066276766617027e+08   5.3981926066666699e+11   9.0616195394935048e+08   1.9033804605064920e+08   1.6970000000000000e+16 
  12.5   2.5369330616094035e+08   5.4657127959091760e+11   9.0452158579545975e+08   1.9197841420453995e+08   1.6970000000000000e+16 
  12.8   2.5666698309639245e+08   5.5329211053888977e+11   9.0287740319948089e+08   1.9362259680051887e+08   1.6970000000000000e+16 
  13.0   2.5953085180209440e+08   5.5997609549947461e+11   9.0120153691394627e+08   1.9529846308605358e+08   1.6970000000000000e+16 
  13.2   2.6220699048257938e+08   5.6661250750062402e+11   8.9945398222866774e+08   1.9704601777133214e+08   1.6970000000000000e+16 
  13.5   2.6459173083495641e+08   5.7318395958914514e+11   8.9758302001370370e+08   1.9891697998629621e+08   1.6970000000000000e+16 
  13.8   2.6655479291631466e+08   5.7966496438165698e+11   8.9552470864921379e+08   2.0097529135078603e+08   1.6970000000000000e+16 
  14.0   2.6793927032114530e+08   5.8602076219689331e+11   8.9320205883165109e+08   2.0329794116834879e+08   1.6970000000000000e+16 
  14.2   2.6856287912063044e+08   5.9220658372857825e+11   8.9052362773279870e+08   2.0597637226720127e+08   1.6970000000000000e+16 
  14.5   2.6822094171064144e+08   5.9816755805800928e+11   8.8738130143774545e+08   2.0911869856225452e+08   1.6970000000000000e+16 
  14.8   2.6669160505819568e+08   6.0383950899086182e+11   8.8364695358096981e+08   2.1285304641903025e+08   1.6970000000000000e+16 
  15.0   2.6374373849353004e+08   6.0915088542191101e+11   8.7916757812067962e+08   2.1733242187932053e+08   1.6970000000000000e+16 
  15.2   2.5914779776010901e+08   6.1402602658622437e+11   8.7375835422806799e+08   2.2274164577193207e+08   1.6970000000000000e+16 
  15.5   2.5268966304861909e+08   6.1838985330048914e+11   8.6719291559999216e+08   2.2930708440000793e+08   1.6970000000000000e+16 
  15.8   2.4418704686620489e+08   6.2217388605115369e+11   8.5918981822009158e+08   2.3731018177990851e+08   1.6970000000000000e+16 
  16.0   2.3350757841217616e+08   6.2532322373476355e+11   8.4939381660054946e+08   2.4710618339945060e+08   1.6970000000000000e+16 
  16.2   2.2058717479015529e+08   6.2780379387390906e+11   8.3735001963978779e+08   2.5914998036021227e+08   1.6970000000000000e+16 
  16.5   2.0544697937279588e+08   6.2960886543547754e+11   8.2246829598761094e+08   2.7403170401238906e+08   1.6970000000000000e+16 
  16.8   1.8820709537526333e+08   6.3076358848717029e+11   8.0397447801987565e+08   2.9252552198012429e+08   1.6970000000000000e+16 
  17.0   1.6909575010926241e+08   6.3132630800330688e+11   7.8084426915591049e+08   3.1565573084408939e+08   1.6970000000000000e+16 
  17.2   1.4845332595594561e+08   6.3138570464091296e+11   7.5171624986776817e+08   3.4478375013223177e+08   1.6970000000000000e+16 
  17.5   1.2673174032908472e+08   6.3105350581370154e+11   7.1478474184432173e+08   3.8171525815567821e+08   1.6970000000000000e+16 
  17.8   1.0449050157195184e+08   6.3045353234957617e+11   6.6768878872253335e+08   4.2881121127746642e+08   1.6970000000000000e+16 
  18.0   8.2390946896830574e+07   6.2970897955934790e+11   6.0745799582426178e+08   4.8904200417573804e+08   1.6970000000000000e+16 
  18.2   6.1189383378852509e+07   6.2893066731986035e+11   5.3068910700117832e+08   5.6581089299882138e+08   1.6970000000000000e+16 
  18.5   4.1728355247573256e+07   6.2820898340818311e+11   4.3437947858852994e+08   6.6212052141146982e+08   1.6970000000000000e+16 
  18.8   2.4923869471518453e+07   6.2761082887128638e+11   3.1828389293848735e+08   7.7821610706151247e+08   1.6970000000000000e+16 
  19.0   1.1690204400353014e+07   6.2717959153027698e+11   1.9097142326739496e+08   9.0552857673260474e+08   1.6970000000000000e+16 
  19.2   3.0598926460817982e+06   6.2693209460026111e+11   7.4356564240256131e+07   1.0221434357597436e+09   1.6970000000000000e+16 
  19.5   4.0346466006527208e+00   6.2684609562918347e+11   7.8503192392236982e+06   1.0886496807607753e+09   1.6970000000000000e+16 
  19.8  -1.2438724536229192e-12   6.2683849231632129e+11   2.4700241649333457e+05   1.0962529975835056e+09   1.6970000000000000e+16 
  20.0  -1.1208126265641185e-20   6.2683825294687561e+11   7.6329706747509463e+03   1.0964923670293241e+09   1.6970000000000000e+16 
  20.2  -1.0618882001996179e-28   6.2683824554930786e+11   2.3540305805037212e+02   1.0964997645969410e+09   1.6970000000000000e+16 
  20.5   3.3956703532054445e-35   6.2683824532095068e+11   7.0459972210638622e+00   1.0964999929540017e+09   1.6970000000000000e+16 
  20.8   7.3771101636163359e-40   6.2683824531406384e+11   1.5912111472815593e-01   1.0964999998408778e+09   1.6970000000000000e+16 
  21.0   2.6008779997089214e-44   6.2683824531390454e+11  -1.1128819779740851e-04   1.0965000000001101e+09   1.6970000000000000e+16 
  21.2  -5.9995167706825460e-47   6.2683824531390479e+11   5.2414672080853023e-06   1.0964999999999936e+09   1.6970000000000000e+16 
  21.5   1.3839250239989232e-49   6.2683824531390479e+11  -2.4686336051057472e-07   1.0964999999999990e+09   1.6970000000000000e+16 
  21.8  -3.1923378919604981e-52   6.2683824531390479e+11   1.1626805309125517e-08   1.0964999999999986e+09   1.6970000000000000e+16 
  22.0   7.3638535612272839e-55   6.2683824531390479e+11  -5.4760091338268333e-10   1.0964999999999986e+09   1.6970000000000000e+16 
  22.2  -1.6986403415433411e-57   6.2683824531390479e+11   2.5790984915021605e-11   1.0964999999999986e+09   1.6970000000000000e+16 
