  12.0   6.6240000000000000e+08   5.3259999641600000e+11   8.7249996800000000e+08   2.2400000000000000e+08   1.6969999902048256e+16 
  12.2   2.5066275200000000e+08   5.3981924556800000e+11   9.0616192000000000e+08   1.9033796800000000e+08   1.6969999902048256e+16 
  12.5   2.5369486400000000e+08   5.4657161625600000e+11   9.0452166400000000e+08   1.9197827200000000e+08   1.6969999902048256e+16 
  12.8   2.5666692800000000e+08   5.5329226752000000e+11   9.0287846400000000e+08   1.9362142400000000e+08   1.6969999902048256e+16 
  13.0   2.5953235200000000e+08   5.5997621862400000e+11   9.0120076800000000e+08   1.9529913600000000e+08   1.6969999902048256e+16 
  13.2   2.6220988800000000e+08   5.6661278720000000e+11   8.9945504000000000e+08   1.9704488000000000e+08   1.6969999902048256e+16 
  13.5   2.6459401600000000e+08   5.7318408192000000e+11   8.9758400000000000e+08   1.9891588800000000e+08   1.6969999902048256e+16 
  13.8   2.6655996800000000e+08   5.7966519910400000e+11   8.9552665600000000e+08   2.0097328000000000e+08   1.6969999902048256e+16 
  14.0   2.6794848000000000e+08   5.8602120806400000e+11   8.9320544000000000e+08   2.0329446400000000e+08   1.6969999902048256e+16 
  14.2   2.6857065600000000e+08   5.9220702003200000e+11   8.9052793600000000e+08   2.0597196800000000e+08   1.6969999902048256e+16 
  14.5   2.6823387200000000e+08   5.9816824012800000e+11   8.8738656000000000e+08   2.0911332800000000e+08   1.6969999902048256e+16 
  14.8   2.6670726400000000e+08   6.0384051200000000e+11   8.8365376000000000e+08   2.1284612800000000e+08   1.6969999902048256e+16 
  15.0   2.6376264000000000e+08   6.0915207372800000e+11   8.7917516800000000e+08   2.1732465600000000e+08   1.6969999902048256e+16 
  15.2   2.5917115200000000e+08   6.1402749337600000e+11   8.7376793600000000e+08   2.2273185600000000e+08   1.6969999902048256e+16 
  15.5   2.5271467200000000e+08   6.1839133900800000e+11   8.6720352000000000e+08   2.2929627200000000e+08   1.6969999902048256e+16 
  15.8   2.4421316800000000e+08   6.2217538764800000e+11   8.5920249600000000e+08   2.3729724800000000e+08   1.6969999902048256e+16 
  16.0   2.3353849600000000e+08   6.2532485120000000e+11   8.4940864000000000e+08   2.4709112000000000e+08   1.6969999902048256e+16 
  16.2   2.2061865600000000e+08   6.2780565094400000e+11   8.3736614400000000e+08   2.5913358400000000e+08   1.6969999902048256e+16 
  16.5   2.0548118400000000e+08   6.2961077452800000e+11   8.2248672000000000e+08   2.7401299200000000e+08   1.6969999902048256e+16 
  16.8   1.8823939200000000e+08   6.3076558438400000e+11   8.0399296000000000e+08   2.9250675200000000e+08   1.6969999902048256e+16 
  17.0   1.6912488000000000e+08   6.3132807987200000e+11   7.8086310400000000e+08   3.1563654400000000e+08   1.6969999902048256e+16 
  17.2   1.4847867200000000e+08   6.3138732441600000e+11   7.5173414400000000e+08   3.4476550400000000e+08   1.6969999902048256e+16 
  17.5   1.2674875200000000e+08   6.3105466368000000e+11   7.1479955200000000e+08   3.8170012800000000e+08   1.6969999902048256e+16 
  17.8   1.0449971200000000e+08   6.3045428838400000e+11   6.6769728000000000e+08   4.2880236800000000e+08   1.6969999902048256e+16 
  18.0   8.2388592000000000e+07   6.2970947174400000e+11   6.0745388800000000e+08   4.8904576000000000e+08   1.6969999902048256e+16 
  18.2   6.1173320000000000e+07   6.2893090406400000e+11   5.3066208000000000e+08   5.6583756800000000e+08   1.6969999902048256e+16 
  18.5   4.1695372000000000e+07   6.2820902502400000e+11   4.3431372800000000e+08   6.6218598400000000e+08   1.6969999902048256e+16 
  18.8   2.4872648000000000e+07   6.2761074688000000e+11   3.1815388800000000e+08   7.7834585600000000e+08   1.6969999902048256e+16 
  19.0   1.1659592000000000e+07   6.2717971660800000e+11   1.9083846400000000e+08   9.0566137600000000e+08   1.6969999902048256e+16 
  19.2   3.0477537500000000e+06   6.2693231820800000e+11   7.4242904000000000e+07   1.0222569600000000e+09   1.6969999902048256e+16 
  19.5   3.9590320587158203e+00   6.2684620390400000e+11   7.8397390000000000e+06   1.0886599680000000e+09   1.6969999902048256e+16 
  19.8  -9.1679615288331462e-13   6.2683853619200000e+11   2.4660065625000000e+05   1.0962530560000000e+09   1.6969999902048256e+16 
  20.0  -8.2671346553326262e-21   6.2683833958400000e+11   7.6203085937500000e+03   1.0964920320000000e+09   1.6969999902048256e+16 
  20.2  -1.2928129752377436e-29   6.2683833958400000e+11   2.3501187133789062e+02   1.0964992000000000e+09   1.6969999902048256e+16 
  20.5   3.3587917303559583e-30   6.2683833958400000e+11   7.0343217849731445e+00   1.0964993280000000e+09   1.6969999902048256e+16 
  20.8   2.9554083366113976e-30   6.2683833958400000e+11   1.5890169143676758e-01   1.0964993280000000e+09   1.6969999902048256e+16 
  21.0   2.6062536005753552e-30   6.2683833958400000e+11  -1.2620398774743080e-04   1.0964993280000000e+09   1.6969999902048256e+16 
  21.2   2.4450602231567004e-30   6.2683833958400000e+11   5.9439917095005512e-06   1.0964993280000000e+09   1.6969999902048256e+16 
  21.5   2.2930437890755931e-30   6.2683833958400000e+11  -2.7995110940537415e-07   1.0964993280000000e+09   1.6969999902048256e+16 
  21.8   2.1496833192357489e-30   6.2683833958400000e+11   1.3185136538140796e-08   1.0964993280000000e+09   1.6969999902048256e+16 
  22.0   2.0187494233564134e-30   6.2683833958400000e+11  -6.2099392295067446e-10   1.0964993280000000e+09   1.6969999902048256e+16 
  22.2   1.8952753086669442e-30   6.2683833958400000e+11   2.9247632093998277e-11   1.0964993280000000e+09   1.6969999902048256e+16 
