  12.0   4.5131443721091458e-11   6.5941773024098398e-17   7.3312097865733684e-17   1.0834218433828464e-15   0.0000000000000000e+00 1 
  12.0   1.6225304761974257e-06   2.4481742588039479e-12   2.8209979924948003e-12   4.2771074876268855e-11   0.0000000000000000e+00 1 
  12.0   2.7354052290320396e-02   3.7379582096264130e-08   4.2692782642461680e-08   6.4924114440145786e-07   0.0000000000000000e+00 1 
  12.0   4.8217034339904785e-01   3.8583587524954055e-07   4.3690010897989850e-07   6.6848351707449183e-06   0.0000000000000000e+00 1 
  12.0   3.4471416473388672e-01   1.3119550601459196e-07   1.4851831053874776e-07   2.2912363419891335e-06   0.0000000000000000e+00 1 
  12.0   1.0454804450273514e-01   2.6500597272161031e-08   3.0229017511373968e-08   4.7015811333039892e-07   0.0000000000000000e+00 1 
  12.0   1.1681858450174332e-02   2.5755100274693632e-09   3.8295566717749807e-09   6.0217196562462050e-08   0.0000000000000000e+00 1 
  12.0   6.7355977080296725e-06   1.1472502635390125e-12   1.2400945159640742e-08   1.9829228392609366e-07   0.0000000000000000e+00 1 
  12.0   1.0002157750932383e-06   2.4228177797347428e-10   1.5918179997242987e-04   2.6876097545027733e-03   0.0000000000000000e+00 1 
  12.0   3.3866544981719926e-06   7.2541781470647493e-09   4.8412801697850227e-03   9.4638034701347351e-02   0.0000000000000000e+00 1 
  12.0   4.2652180809454876e-07   8.1001960694493391e-10   5.4005836136639118e-04   1.2138087302446365e-02   0.0000000000000000e+00 1 
  12.0   5.2684892004606354e-09   2.7747591483068094e-14   1.6236127464708261e-07   3.7073593830427853e-06   0.0000000000000000e+00 1 
  12.0   3.8638892085884891e-09   8.9958719116998813e-15   2.5600663255964662e-10   5.8071822905958470e-09   0.0000000000000000e+00 1 
  12.2   6.5702357687769108e-07   4.2324344029509575e-09   1.9196486178429950e-08   4.2688111534516793e-07   0.0000000000000000e+00 1 
  12.5   1.6132957171066664e-05   9.3779783938430228e-09   2.9785345745381164e-08   6.5070668142652721e-07   0.0000000000000000e+00 1 
  12.8   8.1029160355683416e-05   1.0769425351497830e-08   1.1010964726665406e-06   2.3540133042843081e-05   0.0000000000000000e+00 1 
  13.0   2.4891080101951957e-04   2.7975639582678014e-08   4.1402095121156890e-06   8.6600404756609350e-05   0.0000000000000000e+00 1 
  13.2   6.4970814855769277e-04   1.0064109545737665e-07   1.1188589269295335e-05   2.2877258015796542e-04   0.0000000000000000e+00 1 
  13.5   1.3477478642016649e-03   1.4617069155065110e-07   2.5208752049366012e-05   5.0280743744224310e-04   0.0000000000000000e+00 1 
  13.8   2.4294152390211821e-03   2.1975245090288809e-07   4.8641883040545508e-05   9.4384787371382117e-04   0.0000000000000000e+00 1 
  14.0   4.2980592697858810e-03   4.2151680190727348e-07   8.7846245151013136e-05   1.6520468052476645e-03   0.0000000000000000e+00 1 
  14.2   6.8687987513840199e-03   4.9473504759589559e-07   1.5082367463037372e-04   2.7352990582585335e-03   0.0000000000000000e+00 1 
  14.5   1.0252547450363636e-02   6.0838243598482222e-07   2.4623636272735894e-04   4.2800297960639000e-03   0.0000000000000000e+00 1 
  14.8   1.4729361049830914e-02   7.5999986393071595e-07   3.9310977444984019e-04   6.4991787075996399e-03   0.0000000000000000e+00 1 
  15.0   2.0109830424189568e-02   7.7387210239976412e-07   6.1195541638880968e-04   9.5347343012690544e-03   0.0000000000000000e+00 1 
  15.2   2.6569580659270287e-02   7.2806858497642679e-07   9.4670371618121862e-04   1.3747563585639000e-02   0.0000000000000000e+00 1 
  15.5   3.3932354301214218e-02   5.4402778459916590e-07   1.4565211022272706e-03   1.9452366977930069e-02   0.0000000000000000e+00 1 
  15.8   4.1019037365913391e-02   2.4061748149506457e-07   2.2459267638623714e-03   2.7156461030244827e-02   0.0000000000000000e+00 1 
  16.0   4.7644466161727905e-02   2.9691841874068814e-08   3.5091515164822340e-03   3.7704259157180786e-02   0.0000000000000000e+00 1 
  16.2   5.2560139447450638e-02   1.7403284147121667e-08   5.5532245896756649e-03   5.1861625164747238e-02   0.0000000000000000e+00 1 
  16.5   5.4800610989332199e-02   2.6062156166517525e-07   9.0044299140572548e-03   7.1194961667060852e-02   0.0000000000000000e+00 1 
  16.8   5.2958954125642776e-02   6.5474449684188585e-07   1.4949821867048740e-02   9.6998490393161774e-02   0.0000000000000000e+00 1 
  17.0   4.4779952615499496e-02   1.2039654393447563e-06   2.5481903925538063e-02   1.3071693480014801e-01   0.0000000000000000e+00 1 
  17.2   2.9881419613957405e-02   1.4193025208442123e-06   4.4628832489252090e-02   1.7310266196727753e-01   0.0000000000000000e+00 1 
  17.5   1.0021968744695187e-02   1.4341825362862437e-06   8.0026060342788696e-02   2.2237436473369598e-01   0.0000000000000000e+00 1 
  17.8   8.4439211059361696e-04   1.0763947102532256e-06   1.4538352191448212e-01   2.7100080251693726e-01   0.0000000000000000e+00 1 
  18.0   6.7000731825828552e-02   5.2447938969635288e-07   2.6092559099197388e-01   3.0071589350700378e-01   0.0000000000000000e+00 1 
  18.2   4.7099384665489197e-01   1.3683551003396133e-07   4.3506929278373718e-01   2.7940654754638672e-01   0.0000000000000000e+00 1 
  18.5   2.4101507663726807e+00   3.1682261258936251e-09   5.6590861082077026e-01   1.7620137333869934e-01   0.0000000000000000e+00 2 
  18.8   1.2811266899108887e+01   1.5762271488029000e-08   2.3203739523887634e-01   2.8565622866153717e-02   0.0000000000000000e+00 0 
  18.8   3.5020012855529785e+00   9.2902343595824277e-09   7.2889178991317749e-02   9.6936970949172974e-03   0.0000000000000000e+00 2 
