  0.0000000000000000E+00   0.6624000000000000E+09   0.5325999964160000E+12   0.8725000320000000E+09   0.2240000000000000E+09   0.1696999990204826E+17
  0.2500000000000000E+00   0.2506627610035678E+09   0.5398192553240654E+12   0.9061611949167798E+09   0.1903388370832205E+09   0.1696999990204826E+17
  0.5000000000000000E+00   0.2536913569943413E+09   0.5465712289971608E+12   0.9045203295331455E+09   0.1919797024668545E+09   0.1696999990204826E+17
  0.7500000000000000E+00   0.2566645088790952E+09   0.5532919789019735E+12   0.9028757333134682E+09   0.1936242986865321E+09   0.1696999990204826E+17
  0.1000000000000000E+01   0.2595287028842647E+09   0.5599758485269307E+12   0.9011996002345948E+09   0.1953004317654056E+09   0.1696999990204826E+17
  0.1250000000000000E+01   0.2622060803157612E+09   0.5666121128281819E+12   0.8994519758754299E+09   0.1970480561245708E+09   0.1696999990204826E+17
  0.1500000000000000E+01   0.2645930406693071E+09   0.5731833885061761E+12   0.8975811233988308E+09   0.1989189086011697E+09   0.1696999990204826E+17
  0.1750000000000000E+01   0.2665593736620327E+09   0.5796641945688523E+12   0.8955230760860677E+09   0.2009769559139328E+09   0.1696999990204826E+17
  0.2000000000000000E+01   0.2679482394901901E+09   0.5860197815808835E+12   0.8932008023795918E+09   0.2032992296204090E+09   0.1696999990204826E+17
  0.2250000000000000E+01   0.2685774064603158E+09   0.5922053951658440E+12   0.8905227967781600E+09   0.2059772352218405E+09   0.1696999990204826E+17
  0.2500000000000000E+01   0.2682422209433817E+09   0.5981661846787747E+12   0.8873808562303810E+09   0.2091191757696196E+09   0.1696999990204826E+17
  0.2750000000000000E+01   0.2667208065112390E+09   0.6038379994365262E+12   0.8836467318538876E+09   0.2128533001461132E+09   0.1696999990204826E+17
  0.3000000000000000E+01   0.2637819378530537E+09   0.6091493178279622E+12   0.8791672499403573E+09   0.2173327820596433E+09   0.1696999990204826E+17
  0.3250000000000000E+01   0.2591958798513996E+09   0.6140245099698623E+12   0.8737573615405732E+09   0.2227426704594276E+09   0.1696999990204826E+17
  0.3500000000000000E+01   0.2527482012543611E+09   0.6183885244423522E+12   0.8671903877208041E+09   0.2293096442791966E+09   0.1696999990204826E+17
  0.3750000000000000E+01   0.2442561660127031E+09   0.6221729004800951E+12   0.8591844531195618E+09   0.2373155788804392E+09   0.1696999990204826E+17
  0.4000000000000000E+01   0.2335868129023774E+09   0.6253227396485312E+12   0.8493837119534502E+09   0.2471163200465504E+09   0.1696999990204826E+17
  0.4250000000000000E+01   0.2206753455954276E+09   0.6278039494946229E+12   0.8373324344978729E+09   0.2591675975021274E+09   0.1696999990204826E+17
  0.4500000000000000E+01   0.2055421143454702E+09   0.6296097448002235E+12   0.8224393222781649E+09   0.2740607097218358E+09   0.1696999990204826E+17
  0.4750000000000000E+01   0.1883064052891054E+09   0.6307651903402500E+12   0.8039290275888470E+09   0.2925710044111535E+09   0.1696999990204826E+17
  0.5000000000000000E+01   0.1691956673863964E+09   0.6313285500772932E+12   0.7807754130438404E+09   0.3157246189561602E+09   0.1696999990204826E+17
  0.5250000000000000E+01   0.1485496410606736E+09   0.6313884249275864E+12   0.7516147415686327E+09   0.3448852904313683E+09   0.1696999990204826E+17
  0.5500000000000000E+01   0.1268197526996264E+09   0.6310564821921986E+12   0.7146395840847770E+09   0.3818604479152241E+09   0.1696999990204826E+17
  0.5750000000000000E+01   0.1045651564168547E+09   0.6304565205369363E+12   0.6674904212166349E+09   0.4290096107833669E+09   0.1696999990204826E+17
  0.6000000000000000E+01   0.8244692004311717E+08   0.6297117616109724E+12   0.6072084368872962E+09   0.4892915951127055E+09   0.1696999990204826E+17
  0.6250000000000000E+01   0.6122112022124103E+08   0.6289330931093081E+12   0.5304277200149648E+09   0.5660723119850366E+09   0.1696999990204826E+17
  0.6500000000000000E+01   0.4173013262984686E+08   0.6282109784862469E+12   0.4342357030758075E+09   0.6622643289241941E+09   0.1696999990204826E+17
  0.6750000000000000E+01   0.2488994512221980E+08   0.6276123375640928E+12   0.3185482125724338E+09   0.7779518194275680E+09   0.1696999990204826E+17
  0.7000000000000000E+01   0.1167017244813485E+08   0.6271805617870415E+12   0.1910805838680586E+09   0.9054194481319429E+09   0.1696999990204826E+17
  0.7250000000000000E+01   0.3059788105567455E+07   0.6269328176468491E+12   0.7439205073386441E+08   0.1022107981266137E+10   0.1696999990204826E+17
  0.7500000000000000E+01   0.3381801382221139E+01   0.6268467746024629E+12   0.7849651083885945E+07   0.1088650380916115E+10   0.1696999990204826E+17
  0.7750000000000000E+01  -0.2086583323031768E-17   0.6268391807600162E+12   0.2558053173510717E+06   0.1096244226682650E+10   0.1696999990204826E+17
  0.8000000000000000E+01   0.3406673892681608E-35   0.6268389332881078E+12   0.8333409064363337E+04   0.1096491698590936E+10   0.1696999990204826E+17
  0.8250000000000000E+01   0.1200108985714013E-51   0.6268389252255411E+12   0.2708424797453536E+03   0.1096499761157520E+10   0.1696999990204826E+17
  0.8500000000000000E+01  -0.2241812843111626E-63   0.6268389249630695E+12   0.8370848667443113E+01   0.1096500023629151E+10   0.1696999990204826E+17
  0.8750000000000000E+01   0.2832151085977943E-72   0.6268389249548949E+12   0.1962871419595366E+00   0.1096500031803712E+10   0.1696999990204826E+17
  0.9000000000000000E+01  -0.4236989747891650E-81   0.6268389249547025E+12   0.3810474502848405E-02   0.1096500031996189E+10   0.1696999990204826E+17
  0.9250000000000000E+01   0.6338673883774344E-90   0.6268389249546989E+12   0.7397181390441645E-04   0.1096500031999926E+10   0.1696999990204826E+17
