  12.0   1.0000000000000000e+00   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   2.0000000000000000e+00   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.7000000000000000e+03   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e+02   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e-08   1.0000000000000000e+02   1.0000000000000000e-08   5.0000000000000003e-02   1.0000000000000000e-08   5.0000000000000000e+00   1.0000000000000000e-08   1.0000000000000000e-08   5.0000000000000003e-02   1.0000000000000000e-08   1.0000000000000001e-01   1.0000000000000000e-08   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  13.0   1.0000000000000002e+00   1.0000000000072003e-08   1.0000000000840497e-08   1.0000000000021547e-08   1.0000000001470089e-08   1.0000000000128597e-08   1.0000000000192652e-08   1.0000000000000004e-08   1.0000000000000000e-08   1.0000000045820110e-08   9.9999999998041172e-09   9.9999999998754136e-09   9.9999999999204254e-09   9.9999999962912301e-09   9.9999999992222387e-09   9.9999996244398752e-09   9.9999999997851797e-09   9.9999999541798902e-09   9.9999999986950963e-09   9.9999999938271831e-09   6.3971899292049924e-09   6.3971899292049924e-09   1.9040371070468920e+00   9.9999999160884712e-09   6.3971899292049924e-09   9.8220139062342184e-09   1.0397225129828936e-08   9.9999999977281602e-09   1.6999991490235368e+03   9.9999999805275647e-09   9.7551232328487995e-09   6.3971899287513467e-09   9.9999999983080320e-09   9.9999998734370503e-09   9.9999999713229834e-09   9.9999997428047936e-09   8.9299996778918319e-21   9.9999999830245302e-09   1.0000000183142490e-08   9.9999999525175782e-09   1.0000000000145540e+02   9.9999999283362136e-09   9.9999999720076590e-09   1.0000000042469223e-08   9.9999999340002981e-09   9.9999999811176919e-09   1.0000000019461318e-08   1.0000000117904803e-08   1.0000000092808404e-08   9.9999999721995434e-09   9.9999999785528811e-09   9.9999999722444858e-09   1.0000000542614680e-08   1.3602810403083746e-08   9.9999999742269598e-09   1.3602810120154699e-08   9.9741673804930224e-09   1.0000000043209538e-08   1.0000000065888872e-08   9.9999998534363971e-09   9.9999999931369621e-09   1.0000000019112003e-08   9.9999999750043954e-09   9.9999994270687047e-09   8.5098988616017185e-04   1.3602810093666328e-08   9.9999999623442373e-09   9.9999999593034453e-09   9.9999999593070154e-09   9.9999999593104664e-09   9.9999999448947432e-09   1.3602810354686294e-08   9.9999998900920440e-09   9.9993133664423326e+01   9.9999999857259482e-09  -4.9737982017994884e-06   1.2129704715911534e-08   5.0000000000000000e+00   6.5765127416483587e-09   9.9999999623563191e-09   1.0000498930101645e-01   3.7790065453263874e-08   9.9999999137882045e-02   3.0481744505601138e-01   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  14.0   1.0000000000000002e+00   1.0000000000144002e-08   1.0000000001687659e-08   1.0000000000043081e-08   1.0000000002939357e-08   1.0000000000257126e-08   1.0000000000192632e-08   1.0000000000000010e-08   1.0000000000000000e-08   1.0000000180947149e-08   9.9999999996083467e-09   9.9999999997508964e-09   9.9999999998408920e-09   9.9999999925845361e-09   9.9999999984449106e-09   9.9999985167649291e-09   9.9999999990323627e-09   9.9999998190528515e-09   9.9999999948468321e-09   9.9999999756230670e-09   4.0903123843663047e-09   4.0903123843663047e-09   1.8130636352129594e+00   9.9999996686269106e-09   4.0903123843663047e-09   9.6467992519006178e-09   1.1572333871315350e-08   9.9999999740061456e-09   1.6999966394233206e+03   9.9999999231021306e-09   9.5162428208462785e-09   4.0903123832175394e-09   9.9999999931703157e-09   9.9999994458199925e-09   9.9999998264546953e-09   9.9999990544831261e-09  -4.7391072975805660e-24   9.9999999873465439e-09   1.0000000777627734e-08   9.9999998124973062e-09   9.9999999979447210e+01   9.9999996716145595e-09   9.9999999437930561e-09   1.0000000222098206e-08   9.9999997067358923e-09   9.9999999740679161e-09   1.0000000131238221e-08   1.0000000519999112e-08   1.0000000420891496e-08   9.9999999441768183e-09   9.9999999594686200e-09   9.9999999444593798e-09   1.0000002197210965e-08   1.5909688984617463e-08   9.9999999482538823e-09   1.5909687867316039e-08   9.9463369220798643e-09   9.9999999127364922e-09   1.0000000314584205e-08   9.9999994224611267e-09   1.0000000024017995e-08   1.0000000032516626e-08   9.9999999556694920e-09   9.9999977419335649e-09   3.3605923417344332e-03   1.5909687762691916e-08   9.9999999245099424e-09   9.9999999184068550e-09   9.9999999184139902e-09   9.9999999184208906e-09   9.9999997834481806e-09   1.5909688616412529e-08   9.9999994353476411e-09   9.9936532782650417e+01   9.9999997888343589e-09   2.1730181827554823e-07   7.3718180194700810e-09   5.0000000000000000e+00   4.3316730866747742e-09   9.9999999245341027e-09   9.9999807743517952e-02   8.2064629290747571e-08   9.9999998264879070e-02   5.9744612182003731e-01   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  15.0   1.0000000000000002e+00   1.0000000000216002e-08   1.0000000002534819e-08   1.0000000000064605e-08   1.0000000004407803e-08   1.0000000000385584e-08   1.0000000000192632e-08   1.0000000000000022e-08   1.0000000000000000e-08   1.0000000401039171e-08   9.9999999994126854e-09   9.9999999996264504e-09   9.9999999997614049e-09   9.9999999888799168e-09   9.9999999976680192e-09   9.9999967125694784e-09   9.9999999977677077e-09   9.9999995989608296e-09   9.9999999885788594e-09   9.9999999459725926e-09   2.6153132214067960e-09   2.6153132214067960e-09   1.7287714990591350e+00   9.9999992655668335e-09   2.6153132214067960e-09   9.4747102880789649e-09   1.3486339853183912e-08   9.9999999298106349e-09   1.6999925518460188e+03   9.9999998295689046e-09   9.2832119916026751e-09   2.6153132197770198e-09   9.9999999847568383e-09   9.9999987315740893e-09   9.9999995685472646e-09   9.9999979559956635e-09   2.5194774367364684e-27   1.0000000012142070e-08   1.0000001763668402e-08   9.9999995844382132e-09   9.9999999936463539e+01   9.9999992383760701e-09   9.9999999155784664e-09   1.0000000532429957e-08   9.9999993259203067e-09   9.9999999784645101e-09   1.0000000331053960e-08   1.0000001192677589e-08   1.0000000973022090e-08   9.9999999161541080e-09   9.9999999428040773e-09   9.9999999166742706e-09   1.0000004909937268e-08   1.7384689857193938e-08   9.9999999222808180e-09   1.7384687380887081e-08   9.9193323864171412e-09   9.9999996135009757e-09   1.0000000737409747e-08   9.9999987209018050e-09   1.0000000091006831e-08   1.0000000040324284e-08   9.9999999419315506e-09   9.9999949986684347e-09   7.4481710734667240e-03   1.7384687148990825e-08   9.9999998866756425e-09   9.9999998775102828e-09   9.9999998775209733e-09   9.9999998775313213e-09   9.9999995251229344e-09   1.7384688854435684e-08   9.9999986521409227e-09   9.9881526079294616e+01   9.9999994178125437e-09  -1.5425570202010162e-08   4.5536858992783359e-09   5.0000000000000000e+00   2.8869953839597270e-09   9.9999998867118747e-09   1.0000004593723691e-01   1.5164375731610383e-07   9.9999997388751052e-02   8.7195659259287639e-01   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  16.0   1.0000000000000004e+00   1.0000000000288001e-08   1.0000000003381979e-08   1.0000000000086116e-08   1.0000000005875471e-08   1.0000000000513972e-08   1.0000000000192632e-08   1.0000000000000042e-08   1.0000000000000000e-08   1.0000000698764552e-08   9.9999999992171284e-09   9.9999999995020706e-09   9.9999999996819592e-09   9.9999999851772628e-09   9.9999999968915398e-09   9.9999942719565705e-09   9.9999999960353798e-09   9.9999993012354488e-09   9.9999999800999785e-09   9.9999999058634650e-09   1.6722104825558136e-09   1.6722104825558136e-09   1.6552307121991514e+00   9.9999987203348356e-09   1.6722104825558136e-09   9.3056912128513492e-09   1.6075475494692489e-08   9.9999998669082890e-09   1.6999870224664653e+03   9.9999997030436261e-09   9.0558875085126256e-09   1.6722104807390553e-09   9.9999999733502675e-09   9.9999977554325950e-09   9.9999992060700664e-09   9.9999964827357057e-09   3.3459169251217433e-30   1.0000000055644430e-08   1.0000003107477067e-08   9.9999992759371671e-09   9.9999999875055465e+01   9.9999986436936104e-09   9.9999998873638651e-09   1.0000000962186104e-08   9.9999988048034840e-09   9.9999999933197475e-09   1.0000000611311646e-08   1.0000002112591478e-08   1.0000001729867077e-08   9.9999998881313878e-09   9.9999999283504345e-09   9.9999998888891497e-09   1.0000008589486787e-08   1.8327794921960834e-08   9.9999998963077422e-09   1.8327790607286194e-08   9.8947365257171087e-09   9.9999991586220120e-09   1.0000001319339775e-08   9.9999977721071615e-09   1.0000000190987712e-08   1.0000000043017956e-08   9.9999999333075856e-09   9.9999912885800875e-09   1.2977551491513584e-02   1.8327790203221382e-08   9.9999998488413211e-09   9.9999998366137057e-09   9.9999998366279431e-09   9.9999998366417339e-09   9.9999991883437463e-09   1.8327792973376461e-08   9.9999975688149843e-09   9.9831319816447305e+01   9.9999988876862402e-09   2.3604360834815226e-09   2.9514617337844031e-09   5.0000000000000000e+00   1.9939596136706881e-09   9.9999998488896219e-09   1.0000003080366261e-01   2.4431627638339136e-07   9.9999996509552894e-02   1.1139211387008032e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  17.0   1.0000000000000009e+00   1.0000000000360001e-08   1.0000000004229140e-08   1.0000000000107618e-08   1.0000000007342467e-08   1.0000000000642301e-08   1.0000000000192632e-08   1.0000000000000075e-08   1.0000000000000000e-08   1.0000001061205511e-08   9.9999999990216590e-09   9.9999999993777470e-09   9.9999999996025499e-09   9.9999999814763012e-09   9.9999999961154145e-09   9.9999913008231216e-09   9.9999999939131999e-09   9.9999989387944893e-09   9.9999999697780714e-09   9.9999998570359496e-09   1.0691980888107169e-09   1.0691980888107169e-09   1.5985750203423230e+00   9.9999980565875841e-09   1.0691980888107169e-09   9.1396872638907132e-09   1.9227403157235067e-08   9.9999997884118251e-09   1.6999802912074788e+03   9.9999995490159951e-09   8.8341296450237715e-09   1.0691980870458756e-09   9.9999999594486387e-09   9.9999965609736029e-09   9.9999987558413847e-09   9.9999946970635520e-09   4.9302637451625416e-30   1.0000000114740908e-08   1.0000004749522905e-08   9.9999989003792804e-09   9.9999999798622994e+01   9.9999979143587399e-09   9.9999998591492538e-09   1.0000001491495049e-08   9.9999981667308169e-09   1.0000000016893361e-08   1.0000000958626163e-08   1.0000003238602064e-08   1.0000002657363011e-08   9.9999998601086560e-09   9.9999999157398063e-09   9.9999998611040173e-09   1.0000013074984231e-08   1.8930810156025171e-08   9.9999998703346531e-09   1.8930803603383929e-08   9.8750735990285899e-09   9.9999985733443990e-09   1.0000002033900129e-08   9.9999966172158925e-09   1.0000000318470932e-08   1.0000000041448581e-08   9.9999999289466580e-09   9.9999867725438101e-09   1.9708810942255052e-02   1.8930802989724653e-08   9.9999998110069832e-09   9.9999997957171269e-09   9.9999997957348981e-09   9.9999997957521316e-09   9.9999988048970844e-09   1.8930806994349523e-08   9.9999962353081439e-09   9.9791110750261097e+01   9.9999982249296053e-09  -4.7182633985651337e-10   2.1126941615233685e-09   5.0000000000000000e+00   1.4828086976441501e-09   9.9999998110673442e-09   1.0000003435168922e-01   3.5616164390911746e-07   9.9999995627339369e-02   1.3009192297461167e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  18.0   1.0000000000000013e+00   1.0000000000432000e-08   1.0000000005076300e-08   1.0000000000129113e-08   1.0000000008808979e-08   1.0000000000770588e-08   1.0000000000192632e-08   1.0000000000000121e-08   1.0000000000000000e-08   1.0000001468491108e-08   9.9999999988262557e-09   9.9999999992534647e-09   9.9999999995231686e-09   9.9999999777765622e-09   9.9999999953395472e-09   9.9999879620661767e-09   9.9999999915208712e-09   9.9999985315088925e-09   9.9999999581790372e-09   9.9999998021670281e-09   6.8363675807679533e-10   6.8363675807679533e-10   1.5645510301191343e+00   9.9999973107152424e-09   6.8363675807679533e-10   8.9766446544710601e-09   2.2769317377489063e-08   9.9999996991094194e-09   1.6999727271243864e+03   9.9999993759306158e-09   8.6178020991068629e-09   6.8363675651473236e-10   9.9999999438180601e-09   9.9999952152316479e-09   9.9999982447028070e-09   9.9999926949056588e-09   5.5985310729325136e-30   1.0000000184643326e-08   1.0000006598231917e-08   9.9999984783543805e-09   9.9999999711832018e+01   9.9999970917038807e-09   9.9999998309346294e-09   1.0000002089789050e-08   9.9999974476136503e-09   1.0000000046508369e-08   1.0000001352407681e-08   1.0000004507427213e-08   1.0000003703111390e-08   9.9999998320859109e-09   9.9999999044062920e-09   9.9999998333188716e-09   1.0000018118961725e-08   1.9316374683648903e-08   9.9999998443615508e-09   1.9316365616139425e-08   9.8629471838001459e-09   9.9999978975918799e-09   1.0000002840366599e-08   9.9999953195101056e-09   1.0000000465011887e-08   1.0000000036925131e-08   9.9999999275397958e-09   9.9999816980274697e-09   2.7272894215935959e-02   1.9316364766951401e-08   9.9999997731726320e-09   9.9999997548205465e-09   9.9999997548418382e-09   9.9999997548625144e-09   9.9999984209272440e-09   1.9316370121911829e-08   9.9999947284386367e-09   9.9766280604332451e+01   9.9999974702668484e-09   4.5120337677920180e-10   1.7600890230027573e-09   5.0000000000000000e+00   1.2350507798623085e-09   9.9999997732450517e-09   1.0000003286870499e-01   4.8121758419262894e-07   9.9999994742164242e-02   1.4110632226332032e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  19.0   1.0000000000000018e+00   1.0000000000504000e-08   1.0000000005923460e-08   1.0000000000150603e-08   1.0000000010275251e-08   1.0000000000898854e-08   1.0000000000192632e-08   1.0000000000000179e-08   1.0000000000000000e-08   1.0000001896584549e-08   9.9999999986308856e-09   9.9999999991292024e-09   9.9999999994438007e-09   9.9999999740774320e-09   9.9999999945638073e-09   9.9999844527331663e-09   9.9999999890031948e-09   9.9999981034154515e-09   9.9999999459874190e-09   9.9999997444949022e-09   4.3711190834020346e-10   4.3711190834020346e-10   1.5532336130859887e+00   9.9999965267370027e-09   4.3711190834020346e-10   8.8165105574538229e-09   2.6492184814792060e-08   9.9999996047930733e-09   1.6999647766350458e+03   9.9999991940024690e-09   8.4067719077076248e-09   4.3711190704977140e-10   9.9999999273852503e-09   9.9999937992947225e-09   9.9999977055168591e-09   9.9999905922989457e-09   7.0242075340514667e-30   1.0000000259559686e-08   1.0000008542832113e-08   9.9999980347688574e-09   9.9999999620105655e+01   9.9999962257752629e-09   9.9999998027199933e-09   1.0000002720091987e-08   9.9999966908919780e-09   1.0000000078926567e-08   1.0000001767749805e-08   1.0000005842518010e-08   1.0000004803728629e-08   9.9999998040631527e-09   9.9999998936653468e-09   9.9999998055337144e-09   1.0000023422071458e-08   1.9562902895481921e-08   9.9999998183884320e-09   1.9562891184622563e-08   9.8588578577235915e-09   9.9999971801004194e-09   1.0000003689477338e-08   9.9999939555386830e-09   1.0000000620395596e-08   1.0000000031030991e-08   9.9999999275036050e-09   9.9999763643788675e-09   3.5223383538756863e-02   1.9562890087872306e-08   9.9999997353382759e-09   9.9999997139239678e-09   9.9999997139487633e-09   9.9999997139728823e-09   9.9999980905530643e-09   1.9562896846269252e-08   9.9999931411292395e-09   9.9757900307756799e+01   9.9999966729598140e-09   5.5123070525449670e-10   1.7233707996666258e-09   5.0000000000000000e+00   1.1613292256562273e-09   9.9999997354227509e-09   1.0000003145538131e-01   6.1234314345727313e-07   9.9999993854080316e-02   1.4425079551287179e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  20.0   1.0000000000000022e+00   1.0000000000575999e-08   1.0000000006770621e-08   1.0000000000172093e-08   1.0000000011741475e-08   1.0000000001027115e-08   1.0000000000192634e-08   1.0000000000000252e-08   1.0000000000000000e-08   1.0000002326931384e-08   9.9999999984355204e-09   9.9999999990049433e-09   9.9999999993644327e-09   9.9999999703784226e-09   9.9999999937880922e-09   9.9999809249285245e-09   9.9999999864719444e-09   9.9999976730686167e-09   9.9999999337316265e-09   9.9999996865191978e-09   2.7948587924137284e-10   2.7948587924137284e-10   1.5523575312485116e+00   9.9999957386320946e-09   2.7948587924137284e-10   8.6592330886949092e-09   3.0234648691782614e-08   9.9999995099337361e-09   1.6999567843329983e+03   9.9999990111166853e-09   8.2009093601892639e-09   2.7948587822863618e-10   9.9999999108655618e-09   9.9999923757561281e-09   9.9999971637092416e-09   9.9999884788144171e-09   9.1021544225904582e-30   1.0000000335019039e-08   1.0000010497816581e-08   9.9999975888484203e-09   9.9999999527709420e+01   9.9999953552117254e-09   9.9999997745053424e-09   1.0000003353861306e-08   9.9999959300979333e-09   1.0000000111648328e-08   1.0000002185426832e-08   1.0000007184784945e-08   1.0000005910287783e-08   9.9999997760403812e-09   9.9999998829885644e-09   9.9999997777485439e-09   1.0000028753241638e-08   1.9720532304100731e-08   9.9999997924152982e-09   1.9720517935977935e-08   9.8585401398350428e-09   9.9999964585559475e-09   1.0000004543206211e-08   9.9999925843911146e-09   1.0000000776736925e-08   1.0000000024988410e-08   9.9999999276158451e-09   9.9999710026697908e-09   4.3215685479026662e-02   1.9720516590362241e-08   9.9999996975039181e-09   9.9999996730273890e-09   9.9999996730556753e-09   9.9999996730832353e-09   9.9999978603526124e-09   1.9720524756937178e-08   9.9999915451087454e-09   9.9757246670905957e+01   9.9999958710346336e-09   4.2148088776577221e-09   1.8277538301213589e-09   5.0000000000000000e+00   1.1559408613833814e-09   9.9999996976004501e-09   1.0000002609151945e-01   7.4408725394508900e-07   9.9999992963139481e-02   1.4375748763265805e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
  21.0   1.0000000000000027e+00   1.0000000000647999e-08   1.0000000007617781e-08   1.0000000000193584e-08   1.0000000013207694e-08   1.0000000001155378e-08   1.0000000000192636e-08   1.0000000000000339e-08   1.0000000000000000e-08   1.0000002755289006e-08   9.9999999982401553e-09   9.9999999988806842e-09   9.9999999992850664e-09   9.9999999666794247e-09   9.9999999930123787e-09   9.9999774134320099e-09   9.9999999839526765e-09   9.9999972447109941e-09   9.9999999215324843e-09   9.9999996288114767e-09   1.7870104933066493e-10   1.7870104933066493e-10   1.5523575180417051e+00   9.9999949541701114e-09   1.7870104933066493e-10   8.5047612900470294e-09   3.3959813528498370e-08   9.9999994155537252e-09   1.6999488290112220e+03   9.9999988290762603e-09   8.0000879148736673e-09   1.7870104856382398e-10   9.9999998944225662e-09   9.9999909589282796e-09   9.9999966249777881e-09   9.9999863749331262e-09   1.1472482577924460e-29   1.0000000409999065e-08   1.0000012443633553e-08   9.9999971449891617e-09   9.9999999435726053e+01   9.9999944888339866e-09   9.9999997462906799e-09   1.0000003984570549e-08   9.9999951728988801e-09   1.0000000144102096e-08   1.0000002601042666e-08   1.0000008520716774e-08   1.0000007011601353e-08   9.9999997480175964e-09   9.9999998722551184e-09   9.9999997499633585e-09   1.0000034059636084e-08   1.9821320497293585e-08   9.9999997664421529e-09   1.9821303484190605e-08   9.8585417764564350e-09   9.9999957414453540e-09   1.0000005392858272e-08   9.9999912195786346e-09   1.0000000932232886e-08   1.0000000019076863e-08   9.9999999275970350e-09   9.9999656657364230e-09   5.1171007116929595e-02   1.9821301890859828e-08   9.9999996596695620e-09   9.9999996321308102e-09   9.9999996321625740e-09   9.9999996321935750e-09   9.9999977579339147e-09   1.9821311459327338e-08   9.9999899567784584e-09   9.9757246644746985e+01   9.9999950731862542e-09   7.7345718922001255e-09   1.9646546588794390e-09   5.0000000000000000e+00   1.1559410144111689e-09   9.9999996597781493e-09   1.0000002065324111e-01   8.7523505310007556e-07   9.9999992069392737e-02   1.4296194200125529e+00   2.0000000000000000e+08   5.0000000000000000e+02   5.0000000000000000e+07   5.0000000000000000e+02 
