  12.0   9.9999999392252903e-09   9.9999999392252903e-09   1.0000000000000000e+00   9.9999999392252903e-09   1.0000000000000000e+01   9.9999999392252903e-09   1.0000000000000000e+01   9.9999999392252903e-09   1.0000000000000000e+00   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   3.0000000000000000e+02   1.0000000000000000e+01   9.9999999392252903e-09   9.9999999392252903e-09   5.0000000000000000e+01   1.0000000000000000e+01   1.0000000000000000e+01   1.0000000000000000e+01   1.0000000000000000e+01   1.0000000000000000e+02   2.0000000000000000e+01   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   9.9999999392252903e-09   5.0000000000000000e+01   9.9999999392252903e-09   1.2500000800000000e+08 
  13.0   1.6913150567565705e-12   2.3838523775339127e-02   6.0408449172973633e+00   1.7501623005955480e-05   9.1183137893676758e+00   2.5633860379457474e-02   6.9391169548034668e+00   1.0922563960775733e-03   2.5161901116371155e-01   2.4953161180019379e-01   7.2277747676707804e-05   9.2703847885131836e+00   6.3558559304510709e-08   1.0913151502609253e+00   3.5400204658508301e+00   3.0712622070312500e+02   1.5691403388977051e+01   2.2617774084210396e-03   4.4548946619033813e-01   4.8563755035400391e+01   1.9938278198242188e+01   2.2337186336517334e+00   6.0701475143432617e+00   1.2929281234741211e+01   9.7702308654785156e+01   4.4650360107421875e+01   2.0637256966438144e-04   3.6544275935739279e-03   5.2356463129399344e-06   3.0465022427961230e-04   9.8857870101928711e+00   1.3387584476731718e-04   1.2500000800000000e+08 
  14.0   2.2921389179059171e-12   1.7632512748241425e-01   1.4380621910095215e+01   5.6894241424743086e-05   7.7512688636779785e+00   2.7244314551353455e-02   3.6428165435791016e+00   7.6544971670955420e-04   2.0145188271999359e-01   4.1130405664443970e-01   9.9537646747194231e-05   2.1738328933715820e+01   1.0663115546094559e-07   1.2555557489395142e+00   3.3452925682067871e+00   3.1964041137695312e+02   1.4335328102111816e+01   4.8955143429338932e-03   6.2802940607070923e-01   4.7058414459228516e+01   2.2718738555908203e+01   7.8466542065143585e-02   2.5598535537719727e+00   1.2214573860168457e+01   1.3397163391113281e+02   2.7343713760375977e+01   3.5639412817545235e-04   9.8137231543660164e-03   3.4960612538270652e-06   5.2270281594246626e-04   4.2676539421081543e+00   3.4386251354590058e-04   1.2500000800000000e+08 
  15.0   2.7553137722791110e-12   1.7002563476562500e+00   2.3903430938720703e+01   1.4833544264547527e-04   5.9366521835327148e+00   1.1911023408174515e-02   1.2574383020401001e+00   2.9660307336598635e-03   9.0655490756034851e-02   4.3740081787109375e-01   1.0240730625810102e-04   3.1807462692260742e+01   1.6419059534200642e-07   8.4399676322937012e-01   1.9506547451019287e+00   3.3404663085937500e+02   1.0022078514099121e+01   1.4960634522140026e-02   4.5958882570266724e-01   4.5120285034179688e+01   2.0477537155151367e+01  -9.9326642230153084e-03   6.1767512559890747e-01   8.4109048843383789e+00   1.6957864379882812e+02   8.9564466476440430e+00   5.7119526900351048e-04   2.9774997383356094e-02   1.6178314581338782e-06   7.4790435610339046e-04   8.9372581243515015e-01   1.0185326682403684e-03   1.2500000800000000e+08 
  16.0   2.5563715640858353e-12   7.2581911087036133e+00   2.9555545806884766e+01   8.2627631491050124e-04   4.5854339599609375e+00   2.2212274780031294e-04   4.4314461946487427e-01   2.1295212209224701e-02   3.3893771469593048e-03   3.2301601022481918e-02   3.7356461689341813e-05   3.4573055267333984e+01   8.5443069508528424e-08   5.4082661867141724e-01   9.1067147254943848e-01   3.4423355102539062e+02   6.9917736053466797e+00   1.0267392545938492e-01   2.5952360033988953e-01   4.3144508361816406e+01   1.6341354370117188e+01   4.5238324673846364e-04   1.5015633404254913e-01   5.3955092430114746e+00   1.8143208312988281e+02   4.5917606353759766e-01   3.1018731533549726e-04   4.2964309453964233e-02   6.9833021143494989e-07   2.1868584735784680e-04   3.1352996826171875e-02   1.5958808362483978e-02   1.2500000800000000e+08 
  17.0   1.7817315548299129e-12   1.3489386558532715e+01   2.9524517059326172e+01   2.8194151818752289e-03   3.8600547313690186e+00   2.1868119802093133e-05   2.2397598624229431e-01   1.2813231348991394e-01   2.6238223654218018e-04   5.7068574242293835e-03   2.4238188416347839e-05   3.4607955932617188e+01   6.8286766463643289e-08   5.5193817615509033e-01   4.9471858143806458e-01   3.4981082153320312e+02   5.4658331871032715e+00   1.3337716460227966e-01   1.9921788573265076e-01   4.1745124816894531e+01   1.5099513053894043e+01   2.7263748052064329e-05   5.7663034647703171e-02   4.0255398750305176e+00   1.7525820922851562e+02   9.6271395683288574e-02   2.5620311498641968e-04   3.8567520678043365e-02   4.6471467385345022e-07   1.2041330046486109e-04   4.0175509639084339e-03   5.4333414882421494e-02   1.2500000800000000e+08 
  18.0   8.5173632469875971e-13   1.7136241912841797e+01   2.9125837326049805e+01   1.1818944476544857e-03   3.4300858974456787e+00   2.8796208425774239e-05   1.4027361571788788e-01   1.7796657979488373e-01   2.0516413496807218e-04   5.6868703104555607e-03   1.1291524060652591e-05   3.4650524139404297e+01   3.6131933001115613e-08   4.7659108042716980e-01   3.3277860283851624e-01   3.5303814697265625e+02   4.5864434242248535e+00   9.2856749892234802e-02   1.7058286070823669e-01   4.0776191711425781e+01   1.4276310920715332e+01   3.7055226584925549e-06   2.8621977195143700e-02   3.3260977268218994e+00   1.7123709106445312e+02   1.3688182830810547e-01   1.3878346362616867e-04   2.6946391910314560e-02   2.2347221317886579e-07   1.1147062468808144e-04   3.2350057736039162e-03   3.8141019642353058e-02   1.2500000800000000e+08 
  19.0   1.1895334977446437e-13   1.8413175582885742e+01   2.8817720413208008e+01   3.5877671325579286e-04   3.2726275920867920e+00   4.1328530642203987e-05   1.1666379868984222e-01   1.8749700486660004e-01   1.6465852968394756e-04   3.8522174581885338e-03   2.1364157873904333e-06   3.4720241546630859e+01   7.0992758338661588e-09   4.0210503339767456e-01   2.8990221023559570e-01   3.5418890380859375e+02   4.2225441932678223e+00   5.0322260707616806e-02   1.4729274809360504e-01   4.0388259887695312e+01   1.4139666557312012e+01   1.5555460777250119e-06   1.9919931888580322e-02   3.0934944152832031e+00   1.6951492309570312e+02   2.0392532646656036e-01   2.7482195946504362e-05   1.2002416886389256e-02   3.1514495901774353e-08   1.0824600030900910e-04   8.7266683112829924e-04   2.5827148929238319e-02   1.2500000800000000e+08 
  20.0   0.0000000000000000e+00   1.8543663024902344e+01   2.8608589172363281e+01   3.0690644052810967e-04   3.2604451179504395e+00   6.2683488067705184e-05   1.1491321027278900e-01   1.8858945369720459e-01   1.5113559493329376e-04   1.8858341500163078e-03   3.8729893958588946e-07   3.4807792663574219e+01   1.3046597135968341e-09   3.1997868418693542e-01   2.9168048501014709e-01   3.5429956054687500e+02   4.1123585700988770e+00   2.8890393674373627e-02   1.2710855901241302e-01   4.0355579376220703e+01   1.4435719490051270e+01   1.2242941238582716e-06   1.6954461112618446e-02   3.0774962902069092e+00   1.6913165283203125e+02   2.3669470846652985e-01   5.0635067054827232e-06   5.2242605015635490e-03  -0.0000000000000000e+00   1.4069933968130499e-04   4.1677776785320475e-09   2.2076811641454697e-02   1.2500000800000000e+08 
  21.0   0.0000000000000000e+00   1.8631509780883789e+01   2.8411497116088867e+01   3.0140875605866313e-04   3.2509398460388184e+00   9.1868962044827640e-05   1.1359206587076187e-01   1.9068253040313721e-01   1.5068265201989561e-04   1.9086539978161454e-03   3.7061442981212167e-07   3.4901672363281250e+01   1.2520128267468067e-09   2.3161502182483673e-01   2.9396384954452515e-01   3.5438351440429688e+02   4.0089349746704102e+00   3.0324615538120270e-02   1.0958761721849442e-01   4.0329586029052734e+01   1.4724430084228516e+01   9.6816609129746212e-07   1.4452859759330750e-02   3.0654213428497314e+00   1.6877854919433594e+02   2.4508412182331085e-01   4.8623178372508846e-06   5.0561460666358471e-03   0.0000000000000000e+00   1.9905246153939515e-04   5.1451656268852730e-09   2.1209988743066788e-02   1.2500000800000000e+08 
