  12.0   9.9059997558593750e+01   6.6240000000000000e+08   5.3259999641600000e+11   8.7249996800000000e+08   2.2400000000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.2   9.9652984619140625e+01   6.7149216000000000e+08   5.3770017177600000e+11   9.4332633600000000e+08   1.5317358400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.5   1.0057733154296875e+02   6.7765702400000000e+08   5.4272714342400000e+11   9.4252723200000000e+08   1.5397267200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.8   1.0146000671386719e+02   6.8357638400000000e+08   5.4770456985600000e+11   9.4171616000000000e+08   1.5478376000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.0   1.0226399993896484e+02   6.8904972800000000e+08   5.5262845337600000e+11   9.4086726400000000e+08   1.5563270400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.2   1.0292911529541016e+02   6.9373708800000000e+08   5.5748742348800000e+11   9.3993606400000000e+08   1.5656387200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.5   1.0338806152343750e+02   6.9726291200000000e+08   5.6226689843200000e+11   9.3887091200000000e+08   1.5762905600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.8   1.0354640197753906e+02   6.9910342400000000e+08   5.6694688972800000e+11   9.3760281600000000e+08   1.5889715200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.0   1.0329988861083984e+02   6.9867020800000000e+08   5.7149692313600000e+11   9.3605184000000000e+08   1.6044809600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.2   1.0252932739257812e+02   6.9528230400000000e+08   5.7588036403200000e+11   9.3411948800000000e+08   1.6238041600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.5   1.0110842895507812e+02   6.8821459200000000e+08   5.8004865024000000e+11   9.3169081600000000e+08   1.6480910400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.8   9.8910720825195312e+01   6.7672633600000000e+08   5.8394928742400000e+11   9.2863020800000000e+08   1.6786966400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.0   9.5816947937011719e+01   6.6009849600000000e+08   5.8752080281600000e+11   9.2477280000000000e+08   1.7172704000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.2   9.1732536315917969e+01   6.3772204800000000e+08   5.9070205132800000e+11   9.1991993600000000e+08   1.7657985600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.5   8.6596260070800781e+01   6.0916288000000000e+08   5.9343437824000000e+11   9.1382944000000000e+08   1.8267030400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.8   8.0397514343261719e+01   5.7419046400000000e+08   5.9566483046400000e+11   9.0619494400000000e+08   1.9030478400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.0   7.3193771362304688e+01   5.3295638400000000e+08   5.9735546265600000e+11   8.9663500800000000e+08   1.9986475200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.2   6.5114822387695312e+01   4.8594790400000000e+08   5.9848779366400000e+11   8.8465292800000000e+08   2.1184680000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.5   5.6387557983398438e+01   4.3418249600000000e+08   5.9907152281600000e+11   8.6962233600000000e+08   2.2687734400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.8   4.7289054870605469e+01   3.7892691200000000e+08   5.9914295705600000e+11   8.5068563200000000e+08   2.4581406400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.0   3.8184093475341797e+01   3.2197030400000000e+08   5.9877143347200000e+11   8.2674656000000000e+08   2.6975312000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.2   2.9453828811645508e+01   2.6523244800000000e+08   5.9805034086400000e+11   7.9631545600000000e+08   3.0018428800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.5   2.1495510101318359e+01   2.1084284800000000e+08   5.9709200793600000e+11   7.5746700800000000e+08   3.3903280000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.8   1.4633438110351562e+01   1.6066876800000000e+08   5.9601577574400000e+11   7.0762700800000000e+08   3.8887280000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.0   9.1148710250854492e+00   1.1637584000000000e+08   5.9493403852800000e+11   6.4365740800000000e+08   4.5284240000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.2   5.0476284027099609e+00   7.9122152000000000e+07   5.9394031616000000e+11   5.6200844800000000e+08   5.3449132800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.5   2.3158063888549805e+00   4.9195588000000000e+07   5.9310073446400000e+11   4.5961763200000000e+08   6.3688224000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.8   8.1977486610412598e-01   2.6969838000000000e+07   5.9245264896000000e+11   3.3704921600000000e+08   7.5945056000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  19.0   1.8202485144138336e-01   1.1791458000000000e+07   5.9200805273600000e+11   2.0248846400000000e+08   8.9401132800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  19.2   1.2222196906805038e-02   2.9333007500000000e+06   5.9175822950400000e+11   7.9720520000000000e+07   1.0167793280000000e+09   8.1199998863147008e+16   1.6969999902048256e+16 
  19.5  -1.7560937784228542e-14   1.6696476936340332e+00   5.9166929715200000e+11   9.0964360000000000e+06   1.0874035200000000e+09   8.1199998863147008e+16   1.6969999902048256e+16 
