  12.0   3.9844271020164678e-17   8.6656789871023682e-14   7.1039968883596788e-14   2.6593058894422645e-15   7.1935580864442017e-14   5.8430460448365140e-14   5.0665960142637356e-12   9.4054084453457781e-14   3.0107738030281001e-19   2.4965040393976198e-15   2.7733279590874812e-15   6.9057121132587440e-12   4.3495339708404801e-13   4.5873170713417455e-12   3.8274852037778473e-12   2.1576569420034275e-09   7.2274089490953486e-11   2.1963690588489015e-10   3.4863439912768968e-10   4.1908147687796243e-14   5.1307989974713752e-12   2.1669339933527709e-11   5.6671752387453880e-14   9.9139876863496568e-11   4.0250931927776623e-12   2.0411650147877936e-10   8.7560271533337897e-12   1.0118740290110395e-09   6.5599997469689697e-06   1.0745160317071623e-08   1.1320879997334110e-11   8.1585742606193890e-09   1.4397029401980177e-10   2.7588400453026907e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  13.0   3.9817066704179034e-17   8.3022530636325115e-14   7.1343660688373556e-14   2.6754302203844341e-15   7.2003058897152084e-14   5.8530193495706651e-14   5.0591614231265680e-12   9.3943617804608665e-14   3.0334662106637853e-19   2.4963577144559816e-15   2.7588530130518525e-15   2.7031822960599250e-12   4.3443758790048803e-13   4.7349238245508740e-12   3.6948096492073201e-12   2.1554711349125455e-09   7.3239921072332237e-11   2.2096199869814370e-10   3.4072628052328469e-10   4.1645001656138644e-14   5.1220265008533605e-12   2.0212425483334684e-11   5.1202111669458594e-14   9.9908935291548318e-11   4.0427214527405386e-12   2.0386095589408626e-10   8.8091391819977716e-12   1.0141604223079526e-09   6.5174913288501557e-06   1.0761990409946520e-08   1.1311256618851129e-11   8.1120301587134236e-09   1.4364788525345062e-10   2.7599125207444786e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  14.0   3.9048807821019383e-17   8.2974575018983365e-14   7.2184242632701567e-14   2.6531721003547224e-15   7.3106905457750310e-14   5.9424355356146180e-14   5.0617045277423500e-12   9.5563158352286043e-14   2.9895398182099224e-19   2.4520892315336301e-15   2.6753224354418960e-15   1.0678619447035409e-12   4.3506422965113034e-13   4.8159341098363839e-12   3.6560090892201469e-12   2.1539394712277726e-09   7.3919842469294395e-11   2.2134369337400983e-10   3.3465660798093211e-10   3.9960791837004295e-14   5.0411875195111033e-12   2.0031675970755281e-11   4.9610607912335333e-14   9.9927600916149828e-11   4.0186343835957317e-12   2.0064182260082219e-10   8.7358367067968956e-12   1.0155708496384364e-09   6.4753862716315780e-06   1.0739986677776869e-08   1.1328780795405446e-11   7.9010362696863012e-09   1.4215743859846697e-10   2.7914668354611649e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  15.0   3.6757127094998372e-17   8.6937564352379537e-14   7.4489527501948871e-14   2.5560720549297521e-15   7.6163135856715386e-14   6.1889499059462894e-14   5.1126416468483260e-12   1.0292037811191965e-13   2.8265423275426998e-19   2.3103929014357209e-15   2.4552113949772095e-15   4.4696901345050999e-13   4.3503145964046697e-13   4.8231718098590282e-12   3.7510832114062698e-12   2.1529205085357717e-09   7.4237997693682445e-11   2.2241083974527953e-10   3.3234964780248788e-10   3.5337709727812847e-14   4.7920018647618079e-12   2.1200999289483491e-11   5.0909356754096774e-14   9.9142610787694707e-11   3.9073059024397061e-12   1.9053704447546949e-10   8.4160707916614008e-12   1.0146450346582014e-09   6.4224254856526386e-06   1.0646984627271650e-08   1.1379235227704232e-11   7.3558084068281460e-09   1.3750990623950798e-10   2.8867466195237057e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  16.0   3.0139721899243553e-17   1.0083605364542489e-13   8.1733610764883613e-14   2.2374152955573689e-15   8.6950615436030831e-14   7.0613802890910626e-14   5.3223159386661667e-12   1.2908966430524860e-13   2.3542979364997579e-19   1.9030973205067274e-15   1.8511149085337309e-15   2.2194839553475038e-13   4.3253166890147576e-13   4.7272272901688339e-12   4.1494329673652519e-12   2.1524844129316989e-09   7.4047414033717729e-11   2.2649560005305602e-10   3.3806848986905891e-10   2.3599791419042296e-14   4.0880315625713148e-12   2.5532936875904966e-11   5.8284669137483730e-14   9.6898863932715074e-11   3.5130869567578937e-12   1.6117257528591722e-10   7.3666905908709168e-12   1.0076364187483478e-09   6.3394036260433495e-06   1.0296360208883470e-08   1.1531190065305896e-11   5.8494782351203867e-09   1.2466812304712249e-10   3.2273408390182112e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  17.0   1.8661862981131247e-17   1.4101144297368196e-13   1.0185076523491765e-13   1.6216669180123418e-15   1.2363795696881258e-13   9.9848562306725092e-14   5.8853217438370464e-12   2.1739114143808774e-13   1.5155998678926950e-19   1.1959439235575942e-15   9.0717398057525017e-16   1.5229748614575128e-13   4.2753146400724418e-13   4.5358946633433650e-12   5.1639330832242702e-12   2.1537247540948101e-09   7.3343817130755440e-11   2.3750845734582526e-10   3.5573985424086629e-10   9.0538148945227062e-15   2.8637903680406307e-12   3.7589025642104090e-11   8.4965529349636387e-14   9.2912379179299620e-11   2.6189649407482030e-12   1.0509821485316095e-10   5.3389688503546751e-12   9.8516050872632377e-10   6.2235958466771990e-06   9.2213978675204089e-09   1.1749325470877814e-11   3.3469871318914102e-09   9.9634481220967075e-11   4.2715861958697587e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  18.0   7.6765512403054795e-18   2.4924699348720381e-13   1.4645412432703203e-13   9.0867534647425842e-16   2.2141823422493212e-13   1.7616709143981196e-13   6.9890417238316349e-12   5.2310407524722158e-13   6.5089795501334985e-20   5.0413781070064332e-16   1.9074612871905407e-16   1.6847839041846807e-13   4.2327355813040479e-13   4.3598315062343129e-12   7.1582783103818493e-12   2.1584194431767401e-09   7.2549868890270375e-11   2.6006860553984268e-10   3.8124706169817557e-10   1.0767223421656569e-15   1.6434107763876882e-12   6.7165814576775063e-11   1.8138900212578968e-13   8.8729537606191400e-11   1.4118599952345212e-12   4.2898410518299457e-11   2.9911169027729834e-12   9.3019891789225539e-10   6.1185255617601797e-06   6.9351653309013273e-09   1.1474782062037558e-11   1.1535441490906351e-09   6.5862787446135940e-11   6.5003065152779982e-09   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  19.0   1.1743370453056874e-18   5.0759488843046818e-13   2.4563058293076978e-13   1.9329197888625548e-16   1.0194915658207071e-12   5.9730063776963771e-13   8.8689307634060022e-12   1.6613043406221717e-12   9.2528156748304583e-21   7.9951115636533288e-17   3.3958007872713336e-18   5.2567347176568635e-13   4.2193787526401128e-13   4.3222604315107382e-12   9.8366653364378998e-12   2.1636075153708134e-09   7.2333791734102704e-11   2.9697172498899249e-10   3.9732220291632814e-10   2.7215721151929855e-17   9.1859798847376828e-13   1.2812084726476769e-10   1.5535840842961779e-12   8.7268990645039679e-11   2.4427256549962306e-13   5.0852429905878793e-12   6.3564767598806027e-13   8.2757273256461872e-10   6.0721663430740591e-06   1.9401811268693336e-09   9.2044609781294362e-12   1.1752715467494568e-10   2.8115221956115377e-11   1.1412355505058258e-08   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  20.0   1.0666086870913551e-20   7.6481675810244343e-13   3.0061313139283230e-13   2.7177013855550896e-19   1.1116556460077920e-11   2.0750662473034698e-12   1.0048436908938196e-11   3.5421795704926318e-12   1.1258148260593700e-22   7.1955994170300181e-22   0.0000000000000000e+00   2.0244412049508220e-11   4.2175090459936615e-13   4.3457529241841542e-12   1.1139407105065224e-11   2.1640700342828723e-09   7.2420194840994156e-11   3.2046007514274777e-10   3.9889672120985153e-10   3.9856767237678516e-19   8.5635399596148409e-13   2.1093046753684064e-10   5.5350425631761624e-11   8.7289640793297707e-11   1.5497118291320916e-14   1.6401544835828452e-13   4.9060730640120313e-16   7.0924871531374833e-10   6.0681163631670643e-06   1.8558874733233879e-14   4.8952747237762662e-12   2.4410429052318377e-21   4.2085159142335460e-12   1.3171717050397547e-08   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
  21.0   1.8801742621909294e-21   9.4379853324971785e-13   2.5275346594334780e-13   1.3667836133458697e-19   1.8229950535242345e-11   2.9342472462196012e-12   1.0157327236248737e-11   4.6411520460143407e-12   1.8542677292755603e-23  -3.5687684092139641e-28   0.0000000000000000e+00   8.9256664559389520e-11   4.2183680051648131e-13   4.3500992738532140e-12   1.1317280446121458e-11   2.1640447211979108e-09   7.2421506291941995e-11   3.2368480118449838e-10   3.9899905601714636e-10   6.2179373440764229e-20   8.6966208973776604e-13   2.8415977904039380e-10   9.5093689866931896e-11   8.7270218829260671e-11   7.8973277773514670e-15   2.5540780970202681e-14   2.4139978422582490e-16   6.2458588301339546e-10   6.0679799389617983e-06  -9.0667678916656506e-21   2.8357457441258171e-12   5.8366436292996716e-23   6.5184343383054011e-13   1.2919359804186570e-08   6.1000000641797669e-06   3.7000000929765520e-07   2.0900000631809235e-01   7.8099995851516724e-01   4.8999999080479029e-07   1.9999999878450581e-08 
