  12.0   9.9060000000000002e+01   6.6240000000000000e+08   5.3260000000000000e+11   8.7250000000000000e+08   2.2400000000000000e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.2   9.9653107959993392e+01   6.7149296653926194e+08   5.3770021114717041e+11   9.4332642816640389e+08   1.5317357183359611e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.5   1.0057703514702365e+02   6.7765233794758654e+08   5.4272721375885956e+11   9.4252674211022925e+08   1.5397325788977075e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.8   1.0145951096682055e+02   6.8357148701639235e+08   5.4770427212591852e+11   9.4171633984481883e+08   1.5478366015518108e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.0   1.0226193022816801e+02   6.8903548700218451e+08   5.5262678619459509e+11   9.4086659989629376e+08   1.5563340010370612e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.2   1.0292824659003705e+02   6.9373170671221590e+08   5.5748574367792126e+11   9.3993572319347787e+08   1.5656427680652201e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.5   1.0338513821062493e+02   6.9725019073748589e+08   5.6226635303528149e+11   9.3886952644111025e+08   1.5763047355888966e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.8   1.0354235684836210e+02   6.9908465939337111e+08   5.6694683659344983e+11   9.3760076413224041e+08   1.5889923586775950e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.0   1.0329411358042066e+02   6.9863872471013975e+08   5.7149748953385303e+11   9.3604814433831036e+08   1.6045185566168958e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.2   1.0252194242996478e+02   6.9523956044181144e+08   5.7588015620067712e+11   9.3411472151030719e+08   1.6238527848969275e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.5   1.0109951222309451e+02   6.8816144752111065e+08   5.8004831345573804e+11   9.3168542357009280e+08   1.6481457642990711e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.8   9.8899806877121833e+01   6.7666141235116899e+08   5.8394797805139917e+11   9.2862338113519275e+08   1.6787661886480719e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.0   9.5804938822579089e+01   6.6002846769629157e+08   5.8751965335433496e+11   9.2476462798847902e+08   1.7173537201152092e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.2   9.1718547681884687e+01   6.3764646650786436e+08   5.9070148318951782e+11   9.1991058456465304e+08   1.7658941543534681e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.5   8.6580263911684014e+01   6.0906832818512166e+08   5.9343367459506409e+11   9.1381752718904471e+08   1.8268247281095511e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.8   8.0381089761276840e+01   5.7409633459255075e+08   5.9566406960778540e+11   9.0618193198792493e+08   1.9031806801207498e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  16.0   7.3177846845315997e+01   5.3285978209496725e+08   5.9735449584058179e+11   8.9662015361566138e+08   1.9987984638433847e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  16.2   6.5104198119270464e+01   4.8587810177682239e+08   5.9848722467938403e+11   8.8464030998160410e+08   2.1185969001839578e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  16.5   5.6375372439677086e+01   4.3409569093860239e+08   5.9907057212145618e+11   8.6960351020101905e+08   2.2689648979898092e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  16.8   4.7283803095010086e+01   3.7887504468808973e+08   5.9914247050143945e+11   8.5067076565116322e+08   2.4582923434883675e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  17.0   3.8183613831835721e+01   3.2193828364887077e+08   5.9877083231245117e+11   8.2673147680448592e+08   2.6976852319551408e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  17.2   2.9463264886514928e+01   2.6525382689638466e+08   5.9804982422678955e+11   7.9631045201150715e+08   3.0018954798849279e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  17.5   2.1507593770403084e+01   2.1087412845575580e+08   5.9709183013187854e+11   7.5745615830868268e+08   3.3904384169131732e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  17.8   1.4652706546633150e+01   1.6074061903841114e+08   5.9601586368019897e+11   7.0763129299046993e+08   3.8886870700953031e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  18.0   9.1394238320743959e+00   1.1648167555487864e+08   5.9493430006104785e+11   6.4367651088585937e+08   4.5282348911414087e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  18.2   5.0730544350221205e+00   7.9237419114202231e+07   5.9394067719334985e+11   5.6203863673865557e+08   5.3446136326134467e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  18.5   2.3195463584467135e+00   4.9216533322678164e+07   5.9310118516445813e+11   4.5965089183834779e+08   6.3684910816165233e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  18.8   8.2621101485145054e-01   2.7016044298636958e+07   5.9245297855649304e+11   3.3711778659793603e+08   7.5938221340206397e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  19.0   1.8883739211815431e-01   1.1856262545735523e+07   5.9200831912106836e+11   2.0258985827145678e+08   8.9391014172854328e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  19.2   1.2381436725348683e-02   2.9482423207333358e+06   5.9175844503526392e+11   7.9853997626306877e+07   1.0166460023736932e+09   8.1200000000000000e+16   1.6970000000000000e+16 
  19.5   2.4227807488582091e-13   3.6943574506126904e+00   5.9166931569282373e+11   9.1542804424975514e+06   1.0873457195575025e+09   8.1200000000000000e+16   1.6970000000000000e+16 
