 0.0000000000000000E+000  0.9905999755859375E+002  0.6624000000000000E+009  0.5325999964160000E+012  0.8724999680000000E+009  0.2240000000000000E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.2500000000000000E+000  0.9965310872621420E+002  0.6714929820972836E+009  0.5377002063665706E+012  0.9433265924624248E+009  0.1531733755375747E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.5000000000000000E+000  0.1005755662853158E+003  0.6776442037789339E+009  0.5427271805716403E+012  0.9425254363389323E+009  0.1539745316610673E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.7500000000000000E+000  0.1014576814794143E+003  0.6835613198564548E+009  0.5477041787480854E+012  0.9417146488759362E+009  0.1547853191240634E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.1000000000000000E+001  0.1022604068233809E+003  0.6890269166767251E+009  0.5526266040747761E+012  0.9408646779532615E+009  0.1556352900467382E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.1250000000000000E+001  0.1029277439344277E+003  0.6937286196339897E+009  0.5574854460840721E+012  0.9399338010679790E+009  0.1565661669320208E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.1500000000000000E+001  0.1033864254527972E+003  0.6972567559490675E+009  0.5622659164643285E+012  0.9388678049314148E+009  0.1576321630685849E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.1750000000000000E+001  0.1035462585171139E+003  0.6991053351165202E+009  0.5669462430531434E+012  0.9375994031414582E+009  0.1589005648585417E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.2000000000000000E+001  0.1033015004191348E+003  0.6986782168632449E+009  0.5714967299122240E+012  0.9360472383094971E+009  0.1604527296905027E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.2250000000000000E+001  0.1025337068546500E+003  0.6953027069802769E+009  0.5758792342139407E+012  0.9341142705117697E+009  0.1623856974882302E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.2500000000000000E+001  0.1011165212438393E+003  0.6882529942578585E+009  0.5800472502848859E+012  0.9316852974511906E+009  0.1648146705488093E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.2750000000000000E+001  0.9892282760364964E+002  0.6767856581275114E+009  0.5839468171410918E+012  0.9286232765704578E+009  0.1678766914295421E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.3000000000000000E+001  0.9583453110244837E+002  0.6601887470004747E+009  0.5875184640650356E+012  0.9247640134561669E+009  0.1717359545438329E+009  0.8119999886314701E+017  0.1696999990204826E+017
 0.3250000000000000E+001  0.9175492460903128E+002  0.6378444765311161E+009  0.5907003624753879E+012  0.9199086314761626E+009  0.1765913365238374E+009  0.8119999886314701E+017  0.1696999990204826E+017
