  0.0000000000000000E+00   0.9905999755859375E+02   0.6624000000000000E+09   0.5325999964160000E+12   0.8725000320000000E+09   0.2240000000000000E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.2500000000000000E+00   0.9965310548593202E+02   0.6714931077883754E+09   0.5377001888826661E+12   0.9432921902436748E+09   0.1532078417563253E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.5000000000000000E+00   0.1005755643679666E+03   0.6776441975785713E+09   0.5427271702248807E+12   0.9425254936932588E+09   0.1539745383067411E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.7500000000000000E+00   0.1014576776349504E+03   0.6835613102688879E+09   0.5477041579931914E+12   0.9417147290545624E+09   0.1547853029454375E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.1000000000000000E+01   0.1022604003140873E+03   0.6890269031971726E+09   0.5526265688953447E+12   0.9408647762836804E+09   0.1556352557163198E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.1250000000000000E+01   0.1029277341013031E+03   0.6937286022953653E+09   0.5574853928175210E+12   0.9399339218797417E+09   0.1565661101202585E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.1500000000000000E+01   0.1033864117796740E+03   0.6972567356257651E+09   0.5622658420836254E+12   0.9388679527932312E+09   0.1576320792067687E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.1750000000000000E+01   0.1035462407155203E+03   0.6991053138603565E+09   0.5669461455413582E+12   0.9375995830528743E+09   0.1589004489471254E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.2000000000000000E+01   0.1033014785441371E+03   0.6986781983511575E+09   0.5714966088124940E+12   0.9360474560198145E+09   0.1604525759801854E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.2250000000000000E+01   0.1025336814249329E+03   0.6953026969032885E+09   0.5758790912776450E+12   0.9341145329779183E+09   0.1623854990220818E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.2500000000000000E+01   0.1011164933711853E+03   0.6882530006867310E+09   0.5800470902211388E+12   0.9316856135261518E+09   0.1648144184738487E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.2750000000000000E+01   0.9892279904680231E+02   0.6767856913777076E+09   0.5839466483128114E+12   0.9286236579399503E+09   0.1678763740600501E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.3000000000000000E+01   0.9583450423207152E+02   0.6601888189440196E+09   0.5875182989926874E+12   0.9247644763631517E+09   0.1717355556368487E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.3250000000000000E+01   0.9175490222751010E+02   0.6378445991038051E+09   0.5907002179678262E+12   0.9199091992065034E+09   0.1765908327934972E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.3500000000000000E+01   0.8662311176607058E+02   0.6093035067138052E+09   0.5934326414932493E+12   0.9138137267809227E+09   0.1826863052190780E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.3750000000000000E+01   0.8042944916185417E+02   0.5743645214317909E+09   0.5956634322511445E+12   0.9061740473998438E+09   0.1903259846001571E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.4000000000000000E+01   0.7322989624957673E+02   0.5331528593532556E+09   0.5973544225059298E+12   0.8966058808082775E+09   0.1998941511917236E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.4250000000000000E+01   0.6515718431844091E+02   0.4861833720832275E+09   0.5984878651213706E+12   0.8846165205282160E+09   0.2118835114717851E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.4500000000000000E+01   0.5642562727662482E+02   0.4343958690887824E+09   0.5990720287455366E+12   0.8695660173632257E+09   0.2269340146367756E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.4750000000000000E+01   0.4732691577408369E+02   0.3791489634100904E+09   0.5991447680188103E+12   0.8506140757681540E+09   0.2458859562318470E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.5000000000000000E+01   0.3821478874187403E+02   0.3221624457940530E+09   0.5987738923304852E+12   0.8266486380545859E+09   0.2698513939454151E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.5250000000000000E+01   0.2947786811778020E+02   0.2654048103844167E+09   0.5980534519151338E+12   0.7961933297810943E+09   0.3003067022189061E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.5500000000000000E+01   0.2150185724750746E+02   0.2109316841063061E+09   0.5970957192227760E+12   0.7572969879381589E+09   0.3392030440618415E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.5750000000000000E+01   0.1462452125216520E+02   0.1606911343532652E+09   0.5960196226508878E+12   0.7074275098598439E+09   0.3890725221401565E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.6000000000000000E+01   0.9089119775004116E+01   0.1163215453531975E+09   0.5949374970163859E+12   0.6434430910255486E+09   0.4530569409744517E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.6250000000000000E+01   0.5004029686208339E+01   0.7897576343554533E+08   0.5939428974004760E+12   0.5618353780794291E+09   0.5346646539205712E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.6500000000000000E+01   0.2317945671997000E+01   0.4921074802310033E+08   0.5931024284519933E+12   0.4596912194982936E+09   0.6368088125017070E+09   0.8119999886314701E+17   0.1696999990204826E+17
  0.6750000000000000E+01   0.8207950698228330E+00   0.2698361747150465E+08   0.5924536213160198E+12   0.3372133372983423E+09   0.7592866947016581E+09   0.8119999886314701E+17   0.1696999990204826E+17
