  0.0000000000000000E+00   0.6624000000000000E+09   0.5325999964160000E+12   0.8725000320000000E+09   0.2240000000000000E+09   0.1696999990204826E+17
  0.2500000000000000E+00   0.2506627360000000E+09   0.5398191800320000E+12   0.9061612800000000E+09   0.1903388640000000E+09   0.1696999990204826E+17
  0.5000000000000000E+00   0.2536912960000000E+09   0.5465711575040000E+12   0.9045204480000000E+09   0.1919797120000000E+09   0.1696999990204826E+17
  0.7500000000000000E+00   0.2566644480000000E+09   0.5532918087680000E+12   0.9028759040000000E+09   0.1936243040000000E+09   0.1696999990204826E+17
  0.1000000000000000E+01   0.2595286080000000E+09   0.5599756288000000E+12   0.9011998720000000E+09   0.1953004320000000E+09   0.1696999990204826E+17
  0.1250000000000000E+01   0.2622059520000000E+09   0.5666118696960000E+12   0.8994523520000000E+09   0.1970480960000000E+09   0.1696999990204826E+17
  0.1500000000000000E+01   0.2645928480000000E+09   0.5731829678080000E+12   0.8975815040000000E+09   0.1989189440000000E+09   0.1696999990204826E+17
  0.1750000000000000E+01   0.2665591840000000E+09   0.5796637573120000E+12   0.8955235200000000E+09   0.2009770080000000E+09   0.1696999990204826E+17
  0.2000000000000000E+01   0.2679479680000000E+09   0.5860191764480000E+12   0.8932012160000000E+09   0.2032992640000000E+09   0.1696999990204826E+17
  0.2250000000000000E+01   0.2685770240000000E+09   0.5922046607360000E+12   0.8905232000000000E+09   0.2059772480000000E+09   0.1696999990204826E+17
  0.2500000000000000E+01   0.2682418400000000E+09   0.5981653565440000E+12   0.8873813120000000E+09   0.2091192320000000E+09   0.1696999990204826E+17
  0.2750000000000000E+01   0.2667204000000000E+09   0.6038371041280000E+12   0.8836472320000000E+09   0.2128533600000000E+09   0.1696999990204826E+17
  0.3000000000000000E+01   0.2637815040000000E+09   0.6091484037120000E+12   0.8791677440000000E+09   0.2173329440000000E+09   0.1696999990204826E+17
  0.3250000000000000E+01   0.2591954720000000E+09   0.6140235612160000E+12   0.8737578240000000E+09   0.2227428160000000E+09   0.1696999990204826E+17
  0.3500000000000000E+01   0.2527477760000000E+09   0.6183875379200000E+12   0.8671908480000000E+09   0.2293099040000000E+09   0.1696999990204826E+17
  0.3750000000000000E+01   0.2442557280000000E+09   0.6221717831680000E+12   0.8591848320000000E+09   0.2373158720000000E+09   0.1696999990204826E+17
  0.4000000000000000E+01   0.2335864000000000E+09   0.6253216399360000E+12   0.8493840000000000E+09   0.2471166880000000E+09   0.1696999990204826E+17
  0.4250000000000000E+01   0.2206749280000000E+09   0.6278028328960000E+12   0.8373326720000000E+09   0.2591679520000000E+09   0.1696999990204826E+17
  0.4500000000000000E+01   0.2055416960000000E+09   0.6296085463040000E+12   0.8224394880000000E+09   0.2740611520000000E+09   0.1696999990204826E+17
  0.4750000000000000E+01   0.1883060320000000E+09   0.6307640115200000E+12   0.8039287680000000E+09   0.2925718720000000E+09   0.1696999990204826E+17
  0.5000000000000000E+01   0.1691953440000000E+09   0.6313274245120000E+12   0.7807747840000000E+09   0.3157257920000000E+09   0.1696999990204826E+17
  0.5250000000000000E+01   0.1485493760000000E+09   0.6313873244160000E+12   0.7516138880000000E+09   0.3448866560000000E+09   0.1696999990204826E+17
  0.5500000000000000E+01   0.1268195360000000E+09   0.6310555156480000E+12   0.7146388480000000E+09   0.3818617920000000E+09   0.1696999990204826E+17
  0.5750000000000000E+01   0.1045650000000000E+09   0.6304555335680000E+12   0.6674904320000000E+09   0.4290103360000000E+09   0.1696999990204826E+17
  0.6000000000000000E+01   0.8244681600000000E+08   0.6297109135360000E+12   0.6072101760000000E+09   0.4892907200000000E+09   0.1696999990204826E+17
  0.6250000000000000E+01   0.6122106800000000E+08   0.6289323458560000E+12   0.5304336640000000E+09   0.5660673280000000E+09   0.1696999990204826E+17
  0.6500000000000000E+01   0.4173011200000000E+08   0.6282104012800000E+12   0.4342478720000000E+09   0.6622532480000000E+09   0.1696999990204826E+17
  0.6750000000000000E+01   0.2488994800000000E+08   0.6276117954560000E+12   0.3185741440000000E+09   0.7779270400000000E+09   0.1696999990204826E+17
  0.7000000000000000E+01   0.1167016700000000E+08   0.6271799787520000E+12   0.1911215680000000E+09   0.9053797120000000E+09   0.1696999990204826E+17
  0.7250000000000000E+01   0.3059953500000000E+07   0.6269321871360000E+12   0.7443260000000000E+08   0.1022068608000000E+10   0.1696999990204826E+17
  0.7500000000000000E+01   0.5582189559936523E+01   0.6268465315840000E+12   0.7870624000000000E+07   0.1088630272000000E+10   0.1696999990204826E+17
  0.7750000000000000E+01   0.5781744844549780E-18   0.6268388638720000E+12   0.2564406406250000E+06   0.1096244224000000E+10   0.1696999990204826E+17
  0.8000000000000000E+01  -0.4235353165786735E-30   0.6268386672640000E+12   0.8354164062500000E+04   0.1096492288000000E+10   0.1696999990204826E+17
  0.8250000000000000E+01  -0.3065566545334300E-30   0.6268386672640000E+12   0.2715304260253906E+03   0.1096500480000000E+10   0.1696999990204826E+17
  0.8500000000000000E+01  -0.2456324750421760E-30   0.6268386672640000E+12   0.8394217491149902E+01   0.1096500736000000E+10   0.1696999990204826E+17
  0.8750000000000000E+01  -0.2097957194960583E-30   0.6268386672640000E+12   0.1970963776111603E+00   0.1096500736000000E+10   0.1696999990204826E+17
  0.9000000000000000E+01  -0.1792020566677438E-30   0.6268386672640000E+12   0.3826192347332835E-02   0.1096500736000000E+10   0.1696999990204826E+17
  0.9250000000000000E+01  -0.1530705116204331E-30   0.6268386672640000E+12   0.7427706441376358E-04   0.1096500736000000E+10   0.1696999990204826E+17
