  12.0   9.9059997558593750e+01   6.6240000000000000e+08   5.3259999641600000e+11   8.7249996800000000e+08   2.2400000000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.2   9.9653114318847656e+01   6.7149292800000000e+08   5.3770017177600000e+11   9.4331756800000000e+08   1.5318230400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.5   1.0057558441162109e+02   6.7764428800000000e+08   5.4272724172800000e+11   9.4252563200000000e+08   1.5397417600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  12.8   1.0145766448974609e+02   6.8356121600000000e+08   5.4770407833600000e+11   9.4171462400000000e+08   1.5478520000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.0   1.0226040649414062e+02   6.8902700800000000e+08   5.5262661836800000e+11   9.4086496000000000e+08   1.5563489600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.2   1.0292770385742188e+02   6.9372844800000000e+08   5.5748519526400000e+11   9.3993452800000000e+08   1.5656529600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.5   1.0338630676269531e+02   6.9725619200000000e+08   5.6226532556800000e+11   9.3886912000000000e+08   1.5763072000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  13.8   1.0354617309570312e+02   6.9910515200000000e+08   5.6694571008000000e+11   9.3760140800000000e+08   1.5889840000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.0   1.0330146789550781e+02   6.9867852800000000e+08   5.7149652992000000e+11   9.3604998400000000e+08   1.6044980800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.2   1.0253357696533203e+02   6.9530252800000000e+08   5.7587846348800000e+11   9.3411808000000000e+08   1.6238169600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.5   1.0111635589599609e+02   6.8825267200000000e+08   5.8004622540800000e+11   9.3169030400000000e+08   1.6480947200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  14.8   9.8922637939453125e+01   6.7678534400000000e+08   5.8394561740800000e+11   9.2862976000000000e+08   1.6787001600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.0   9.5834465026855469e+01   6.6018937600000000e+08   5.8751778816000000e+11   9.2477209600000000e+08   1.7172763200000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.2   9.1754791259765625e+01   6.3784486400000000e+08   5.9069929881600000e+11   9.1991897600000000e+08   1.7658076800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.5   8.6623016357421875e+01   6.0930393600000000e+08   5.9343162572800000e+11   9.1382611200000000e+08   1.8267361600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  15.8   8.0429397583007812e+01   5.7436531200000000e+08   5.9566266777600000e+11   9.0618976000000000e+08   1.9030993600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.0   7.3229858398437500e+01   5.3315366400000000e+08   5.9735382425600000e+11   8.9662611200000000e+08   1.9987356800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.2   6.5157211303710938e+01   4.8618467200000000e+08   5.9848799027200000e+11   8.8464281600000000e+08   2.1185688000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.5   5.6425628662109375e+01   4.3439683200000000e+08   5.9907230924800000e+11   8.6960064000000000e+08   2.2689900800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  16.8   4.7326942443847656e+01   3.7914992000000000e+08   5.9914584064000000e+11   8.5066035200000000e+08   2.4583934400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.0   3.8214771270751953e+01   3.2216281600000000e+08   5.9877530009600000e+11   8.2671110400000000e+08   2.6978857600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.2   2.9477830886840820e+01   2.6540467200000000e+08   5.9805519052800000e+11   7.9627852800000000e+08   3.0022118400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.5   2.1501808166503906e+01   2.1093097600000000e+08   5.9709777510400000e+11   7.5741324800000000e+08   3.3908640000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  17.8   1.4624463081359863e+01   1.6068987200000000e+08   5.9602173952000000e+11   7.0758560000000000e+08   3.8891404800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.0   9.0890674591064453e+00   1.1631984000000000e+08   5.9493934694400000e+11   6.4365516800000000e+08   4.5284444800000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.2   5.0039887428283691e+00   7.8973736000000000e+07   5.9394418278400000e+11   5.6211315200000000e+08   5.3438649600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.5   2.3179206848144531e+00   4.9208580000000000e+07   5.9310289715200000e+11   4.6004307200000000e+08   6.3645657600000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  18.8   8.2078307867050171e-01   2.6981456000000000e+07   5.9245291110400000e+11   3.3764051200000000e+08   7.5885920000000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  19.0   1.7936167120933533e-01   1.1786570000000000e+07   5.9200621772800000e+11   2.0326827200000000e+08   8.9323142400000000e+08   8.1199998863147008e+16   1.6969999902048256e+16 
  19.2   1.2244359590113163e-02   2.9436120000000000e+06   5.9175364198400000e+11   8.0279000000000000e+07   1.0162206720000000e+09   8.1199998863147008e+16   1.6969999902048256e+16 
  19.5  -1.4359176282903452e-13  -1.6176008605957031e+02   5.9166267801600000e+11   8.9472380000000000e+06   1.0875523840000000e+09   8.1199998863147008e+16   1.6969999902048256e+16 
